wave,r2_common_items,res_r_score,res_r_booktypes,res_r_national_yes,res_r_hisei
2022,0.914240397540073,0.127869471125701,0.586349047994818,,0.093854194503501
2025,0.955081914513214,-0.0660966174847168,,0.640988977872239,0.0589750062782066
