cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonized,mismatch
AUS,507.000869348572,0.379366600098662,11.0025852720149,-22.1788001159385,-2.93229975209187,-19.2465003638466
AUT,491.270958720107,0.0690673583851902,11.0927698653021,-25.9725427813183,-10.2882049758154,-15.6843378055029
BEL,490.578346059195,0.0828763345344358,11.044567313934,-21.9499047167653,-7.84778188737079,-14.1021228293945
CAN,515.016675998231,0.381102083434959,10.9782020499208,-14.0231629628468,-1.23279889298448,-12.7903640698623
CHL,443.543402405252,-0.508649292714337,10.2941926449245,-3.59393045718429,6.66550673658225,-10.2594371937665
COL,411.120673247646,-1.06512486660668,9.82329221779449,3.55734294276868,9.65966109176486,-6.10231814899618
CZE,497.742046963464,-0.104086068874434,10.7870621335661,-22.8019064100166,-6.15870195443131,-16.6432044555853
DNK,493.815711696791,0.476077739419443,11.1431575994332,-11.1550799370825,5.79128761103681,-16.9463675481193
EST,525.811778494365,0.15072518810964,10.6718493347325,-8.24744203818784,4.46848773888286,-12.7159297770707
FIN,510.958850529092,0.258482836793759,10.9520041740732,-11.3773578897101,5.61027036919563,-16.9876282589057
FRA,487.22527871114,0.000185390793041152,10.8906805217229,-21.3766851252486,-6.4783729470139,-14.8983121782347
DEU,492.426729506178,-0.13699001801812,11.0631624706567,4.28029987497035,16.0423987123135,-11.7620988373432
GRC,440.78606047356,-0.154869593520961,10.4864898925689,-5.66033573980639,8.90559119781312,-14.5659269376195
HUN,485.890158500014,0.00297822717063949,10.6117935341305,-22.6572497357876,-11.0289747293384,-11.6282750064492
ISL,446.967114228563,0.378105123799279,11.106178197949,-17.8344923947015,1.46950307169311,-19.3039954663946
IRL,503.845537160913,0.332979137138496,11.7200004169504,-5.57470400567462,4.96225252513131,-10.5369565308059
ISR,464.751825167538,0.279956996073666,10.7817100722593,-37.1881735959033,-11.1110851490964,-26.0770884468069
ITA,477.463365937243,-0.100210476253157,10.8653886828036,-8.33708200636721,3.91018570988905,-12.2472677162563
JPN,546.634453550058,-0.00682502170976177,10.7540520846853,-0.0231197233333091,18.321406125564,-18.3445258488973
KOR,527.822418270813,0.224385685498613,10.8823511918482,-17.4778260889353,-0.313748643616634,-17.1640774453187
LVA,493.842767044501,-0.00948252342791962,10.5379115313861,-14.5996590780878,-6.09152109332774,-8.50813798476006
LTU,484.463405750114,0.0522950661242306,10.7502694525196,-25.601271376516,-9.32484925122884,-16.2764221252872
MEX,409.886598262336,-0.952437325571647,9.97076563186832,-0.0900141487212522,6.09966379157902,-6.18967794030027
NLD,488.316836161905,0.253460782280093,11.1749886607144,-5.37345583895274,0.650576461156163,-6.0240323001089
NZL,504.129304786123,0.219063599197657,10.8166330339601,-16.6110385904045,-1.857044379081,-14.7539942113235
NOR,478.22646488318,0.52149711448132,11.4627875046175,-13.1163880323525,7.3156170043149,-20.4320050366674
POL,499.164362079855,-0.105140685151639,10.6783304179976,-12.6217627651286,0.731197948249019,-13.3529607133776
PRT,484.373464121821,-0.226355259943461,10.623054174663,-0.38134262637908,8.22623717121894,-8.60757979759802
SVK,462.269483119108,-0.302996663847978,10.5622758072207,-23.355698092688,-5.39671962774901,-17.958978464939
SVN,499.964882473509,0.225808263835106,10.759155002758,-19.5140282235234,5.92987841851107,-25.4439066420345
ESP,484.533648430168,-0.0331994972649325,10.7522161242117,-8.09630685315477,7.9526590303812,-16.048965883536
SWE,493.549319081964,0.326591020590031,11.043633585968,-19.9336592150625,-0.302447020889872,-19.6312121941726
CHE,502.523241532232,0.169166744118688,11.3593345957898,-20.7956407838451,-1.63940688403096,-19.1562338998141
TUR,475.937802099197,-1.18544304825989,10.4199217529435,7.41104383889513,17.6827026745519,-10.2716588356568
GBR,499.670213782657,0.13638065860924,10.8963645870374,-11.694600219345,0.731545072293841,-12.4261452916388
USA,499.414064063512,0.0561628685744663,11.1958659789375,-3.79547378549802,15.7759883826465,-19.5714621681445
