index,label,n_systems,y2015,se2015,y2018,se2018,y2022,se2022,y2025,se2025
escs,"ESCS, published",35,84.6613783694828,0.934770354934992,87.8778331650096,0.907229565036613,93.4008149434827,0.912436113800126,76.5357090326851,0.97493412387812
escs_h4,"ESCS, harmonized (four cycles)",35,83.4645336422257,0.929260692820312,82.4078542593216,0.892147495823373,84.6605974938614,0.903334446262249,82.2121916010431,0.950260710772742
escs_mean4,"ESCS, harmonized (four cycles), no imputation",35,83.9442046634719,0.929078680711558,82.7206346644081,0.899084820500455,85.0092559297294,0.906924743133899,83.2385993242268,0.960424804553453
escs_pca4,"ESCS, harmonized (four cycles), principal component",35,83.6983940236503,0.913990514565783,83.0848343424692,0.88514755151575,85.5435663352486,0.909655572307616,84.1777432086417,0.957427715554432
homepos,"HOMEPOS, published",35,72.5645451350942,0.912311701251583,73.4156606848924,0.89590390922134,89.5721612516098,0.92246290280325,48.4286935101195,0.925240866700583
homepos_h4,"HOMEPOS, harmonized (four cycles)",35,60.2009799293644,0.888618829499182,59.7185965221879,0.885281413307914,68.0043984769848,0.891568578234783,61.8775231660183,0.885901213363295
hisei,HISEI,35,77.5517421776344,0.891492276738194,76.2366979923342,0.855553149260653,75.5989510461558,0.869788349920336,71.2236731731321,0.912806539723475
pared_c,PARED (common scale),35,50.435590322188,0.872973436680315,48.6126391954703,0.84413160723404,44.9227039586502,0.8321604183033,55.0164548106238,0.840730274830205
books,Books at home (six categories),35,93.1191208753282,0.887886612118462,95.1670805855018,0.835821327591837,96.9173869844003,0.878813707805625,91.1423334796289,0.90115609729872
escs_trend2022,"ESCS, official OECD 2022 trend rescaling",35,87.2052421628551,0.945524816605426,87.2608663711544,0.912102761146366,93.4008149434827,0.912436113800126,76.5357090326851,0.97493412387812
homepos_trend2022,"HOMEPOS, official OECD 2022 trend rescaling",35,72.5738301270311,0.92333799548638,73.7825180639202,0.892603541811488,89.5721612516098,0.92246290280325,48.4286935101195,0.925240866700583
