index,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.299440279601219,-0.318969850637943,-0.471383974403177
published,-0.212531046403891,-0.246137390842595,-0.499743942530829
harmonized,-0.1061153046512,-0.137263292628676,-0.369716851564421
