index,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.408952878501769,-0.308666412129415,-0.559507016639039
published,-0.283755574801148,-0.179331968367329,-0.546218574882769
harmonized,-0.107933579389949,-0.0378200048504589,-0.345606559439532
