group,n_systems,pct_2022,pct_2025,mean_2022,mean_2025,change,se
Parents with tertiary education (16 years),36,55.1026064866613,51.6309164808195,506.728128232176,516.04134930271,9.31322107053495,3.21833670121198
Parents with 12 years or fewer,36,33.5970374567842,38.7001003531118,462.096872433756,461.723883892727,-0.372988541028292,3.20854205886982
HISEI >= 60,36,45.3625107802244,48.1844520257276,521.410702804804,522.796427983865,1.38572517906084,3.21469991101044
HISEI < 35,36,29.9890212430866,26.9837607800257,453.172588910648,454.272172289393,1.09958337874451,3.22381387335212
More than 100 books,36,34.2048755195606,33.4553299928878,528.007078999568,525.437920837659,-2.56915816190906,3.23877982307603
25 books or fewer,36,36.4643925721714,37.7404998990264,440.696174832482,440.98668617683,0.290511344347465,3.20836063465578
No valid ESCS,34,3.98264315741337,8.42969706486829,438.641306124928,404.209457987296,-34.4318481376324,3.87723711101017
Valid ESCS,36,96.2295256821583,91.8779244429071,488.477170620925,489.866083724198,1.38891310327318,3.18010267453969
