cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonized,mismatch
AUS,487.084253512131,0.379366600098662,11.0025852720149,-18.4238254538488,-3.00817989742797,-15.4156455564208
AUT,487.267498967357,0.0690673583851902,11.0927698653021,-25.0506919535202,-10.0411219259981,-15.0095700275221
BEL,489.486816744945,0.0828763345344358,11.044567313934,-19.7259597394641,-7.99708777961172,-11.7288719598524
CAN,496.947894435704,0.381102083434959,10.9782020499208,-13.6543245149851,-1.42307883088932,-12.2312456840958
CHL,411.696570708096,-0.508649292714337,10.2941926449245,0.586714508447074,8.90637449678025,-8.31965998833318
COL,382.696835129567,-1.06512486660668,9.82329221779449,-0.468477323159561,5.11881948240489,-5.58729680556445
CZE,486.999207851924,-0.104086068874434,10.7870621335661,-16.17965894419,-0.942752065009984,-15.23690687918
DNK,489.273876942411,0.476077739419443,11.1431575994332,-16.0655654359972,-1.99646997935929,-14.0690954566379
EST,509.946953224762,0.15072518810964,10.6718493347325,-5.32120873700228,5.8271673031627,-11.148376040165
FIN,484.139225637767,0.258482836793759,10.9520041740732,-12.2905214746324,3.01332933862119,-15.3038508132536
FRA,473.944418420598,0.000185390793041152,10.8906805217229,-18.1044313966538,-4.74030969710901,-13.3641216995448
DEU,474.826453907857,-0.13699001801812,11.0631624706567,0.227096413207505,10.0930019180308,-9.8659055048233
GRC,430.146321853281,-0.154869593520961,10.4864898925689,1.05129254279518,15.7101464235872,-14.658853880792
HUN,472.77612237194,0.00297822717063949,10.6117935341305,-17.2268614730736,-6.91158664936808,-10.3152748237055
ISL,458.914014345186,0.378105123799279,11.106178197949,-13.9590301894083,2.19474077342534,-16.1537709628336
IRL,491.648279591883,0.332979137138496,11.7200004169504,-1.16566729692187,5.53035281779438,-6.69602011471625
ISR,457.896666593315,0.279956996073666,10.7817100722593,-41.5155288922609,-17.3233353005358,-24.1921935917251
ITA,471.259475476287,-0.100210476253157,10.8653886828036,-6.08808855703933,5.89572909431684,-11.9838176513562
JPN,535.579305995716,-0.00682502170976177,10.7540520846853,-2.02418069175576,15.1823533224818,-17.2065340142376
KOR,527.302501780458,0.224385685498613,10.8823511918482,-7.07772877098057,8.40588290427536,-15.4836116752559
LVA,483.159455201818,-0.00948252342791962,10.5379115313861,-16.4128117112542,-7.51629244433036,-8.89651926692384
LTU,475.146761977257,0.0522950661242306,10.7502694525196,-25.9748917132626,-11.8193022367713,-14.1555894764913
MEX,395.02991921871,-0.952437325571647,9.97076563186832,-1.30444456481996,3.98251641929079,-5.28696098411075
NLD,492.675638978496,0.253460782280093,11.1749886607144,-4.25551073138143,-0.395391330170583,-3.86011940121085
NZL,479.074193452378,0.219063599197657,10.8166330339601,-16.015033553352,-3.930767248498,-12.084266304854
NOR,468.449949891688,0.52149711448132,11.4627875046175,-2.45427601292926,15.2356330621394,-17.6899090750687
POL,488.960053763702,-0.105140685151639,10.6783304179976,-14.9529888311964,-3.01649031016501,-11.9364985210314
PRT,471.910522105749,-0.226355259943461,10.623054174663,-1.15191497939315,5.33115208374619,-6.48306706313934
SVK,463.994618478265,-0.302996663847978,10.5622758072207,-16.9509874521498,-0.547875539379277,-16.4031119127705
SVN,484.52900864835,0.225808263835106,10.759155002758,-24.7629539644593,-2.76459853709588,-21.9983554273634
ESP,473.140208024607,-0.0331994972649325,10.7522161242117,-13.6751256197526,0.210686829825931,-13.8858124495785
SWE,481.766065397007,0.326591020590031,11.043633585968,-19.1626895923458,-2.76514086356377,-16.397548728782
CHE,507.990586448703,0.169166744118688,11.3593345957898,-19.2478683779331,-2.7369077090832,-16.5109606688499
TUR,453.151767401832,-1.18544304825989,10.4199217529435,13.9580110485157,24.3592515248329,-10.4012404763172
GBR,488.975085065764,0.13638065860924,10.8963645870374,0.244172356667491,10.8900400693286,-10.6458677126611
USA,464.888043012123,0.0561628685744663,11.1958659789375,-9.01499071473819,7.38366800455356,-16.3986587192918
