index,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.294437610041251,-0.243239670243685,-0.496403395507898
published,-0.0646822448697793,-0.0239939810214758,-0.320297011285238
harmonized,0.0604301394874709,0.0836872083334264,-0.140389853808198
