wave,group,pct_students,math,hisei,paredint,books7,n_booktypes,n_national_yes,n_national_adm
2022,In Q4 under both,19.6892281607097,508.001961956065,64.2352935574593,15.0758287320916,4.87894698838102,6.89938856981502,,0
2022,"Published Q4, not harmonized Q4",5.30377681658406,520.584011932525,60.8260333368414,14.7643614078424,5.03576310928691,7.17311411787951,,0
2022,"Harmonized Q4, not published Q4",5.30353358280823,469.785625369298,56.4302239080294,14.4615539505824,3.70219804550586,4.73631019508224,,0
2022,In Q1 under both,19.5611637628174,418.474969226529,38.2180792819077,12.2848169616238,2.57653284550659,3.71685006029107,,0
2022,"Published Q1, not harmonized Q1",5.44689384021642,428.625846008859,44.3797493675012,13.1131390849035,2.76115674730954,2.86687132077763,,0
2022,"Harmonized Q1, not published Q1",5.45007753655673,463.209101407801,45.9715505519825,13.3336381785351,3.66396843483671,6.30740520574029,,0
2025,In Q4 under both,21.4497370455329,488.375260039509,63.4368559247745,14.7691442860085,4.61020959295802,,4.32053247260621,5.64145946993038
2025,"Published Q4, not harmonized Q4",3.54404090424711,464.898548646133,57.1638197097317,14.2053305599453,4.04927200340255,,4.52629947540454,5.56902109279221
2025,"Harmonized Q4, not published Q4",3.53699215298252,502.168151525427,58.7719442156879,14.3597010817255,4.51249820247895,,2.92068408075888,5.60332558622524
2025,In Q1 under both,21.5343815854347,421.165482030378,40.3870695216667,12.0619769250655,2.79793971219228,,2.600619522163,5.61123396628542
2025,"Published Q1, not harmonized Q1",3.49423320037522,458.861837161981,46.1238805997867,12.9235146829445,3.53569717471637,,2.07300829984728,5.59436646549263
2025,"Harmonized Q1, not published Q1",3.47391732408066,431.147951266476,44.8360388091686,12.8727689178022,3.08269706338664,,3.84889733658378,5.57951341884914
