index,decile,n_systems,mean_2022,mean_2025,change,se
escs,1,36,424.67212877569,431.497366281175,6.82523750548506,3.34906392403945
escs,2,36,451.169949611461,453.996630887402,2.82668127594195,3.34310274128641
escs,3,36,458.978300086706,464.393650779899,5.41535069319252,3.38080724172886
escs,4,36,471.124423013791,473.758280335543,2.63385732175186,3.36164574791327
escs,5,36,481.985276065884,485.66561609534,3.68034002945603,3.37032531136717
escs,6,36,491.425995534466,497.045420071771,5.61942453730501,3.3763469345214
escs,7,36,503.698623689475,507.843481629217,4.14485793974183,3.39244283452197
escs,8,36,517.5365785527,521.722643369764,4.18606481706399,3.40410565690109
escs,9,36,535.181439018985,531.491870889541,-3.68956812944452,3.4163410542681
escs,10,36,549.109907904703,531.343436800807,-17.7664711038959,3.38548114814577
escs,D10-D1,36,124.437779129014,99.8460705196326,-24.591708609381,1.81051432504415
escs_h,1,36,429.744935655015,429.457346925442,-0.287588729573145,3.34510907275677
escs_h,2,36,454.283909303387,452.795368636236,-1.4885406671512,3.34323058150952
escs_h,3,36,462.24659013431,463.488269312024,1.24167917771382,3.34145212136209
escs_h,4,36,472.999461315158,474.780003124932,1.78054180977404,3.36727614091414
escs_h,5,36,482.319753613883,484.946221085598,2.62646747171556,3.36530119794489
escs_h,6,36,493.953642678639,496.068527507115,2.11488482847574,3.36620540509563
escs_h,7,36,504.904679561739,507.68073623423,2.77605667249139,3.44349228811236
escs_h,8,36,517.810432594964,522.746295072603,4.93586247763903,3.38363914388354
escs_h,9,36,531.556224342351,533.474703328191,1.91847898584024,3.44107340566857
escs_h,10,36,537.822388543931,536.59402833328,-1.22836021065154,3.38761107282129
escs_h,D10-D1,36,108.077452888917,107.136681407838,-0.9407714810784,1.79048199950329
escs_pca,1,36,433.907960023029,435.060703764506,1.15274374147731,3.33412252677832
escs_pca,2,36,454.368430636111,452.546378548841,-1.82205208726992,3.35078961082885
escs_pca,3,36,460.354623146146,461.432530028616,1.07790688247059,3.35436260390642
escs_pca,4,36,471.449528132508,471.964244323798,0.514716191289665,3.36128555071526
escs_pca,5,36,480.609417115695,482.125313177919,1.51589606222461,3.37385924217911
escs_pca,6,36,491.604230022429,493.1483322298,1.54410220737088,3.38492807221018
escs_pca,7,36,503.608415175874,505.134352194558,1.52593701868426,3.42007671307977
escs_pca,8,36,517.445485631733,521.868791723503,4.42330609177043,3.3878554605256
escs_pca,9,36,532.728909433687,535.574431560818,2.84552212713072,3.44465706023389
escs_pca,10,36,541.567734950457,543.162313440316,1.59457848985926,3.37592901376025
escs_pca,D10-D1,36,107.659774927428,108.10160967581,0.44183474838195,1.75370964858423
homepos,1,36,413.380799706996,431.965856783414,18.585057076418,3.37385168766438
homepos,2,36,445.253699468117,460.941097678122,15.6873982100049,3.37114936583541
homepos,3,36,462.629586212233,472.528703499932,9.89911728769846,3.37956496022615
homepos,4,36,476.950545979398,484.382860438547,7.43231445914898,3.38454592124239
homepos,5,36,487.81052269538,490.090895334174,2.28037263879389,3.3750404807109
homepos,6,36,498.171154076813,496.402799818219,-1.76835425859321,3.3841113374675
homepos,7,36,509.58282663484,501.306897160829,-8.27592947401104,3.36729924703394
homepos,8,36,518.846650051104,505.286485447013,-13.5601646040909,3.36966178510724
homepos,9,36,528.923612823581,508.994164164395,-19.9294486591861,3.37420413622393
homepos,10,36,533.461095038591,502.381649300324,-31.0794457382676,3.40085904481265
homepos,D10-D1,36,120.080295331595,70.4157925169096,-49.6645028146856,1.8402604692183
homepos_h,1,36,425.498266672671,425.141963508567,-0.356303164104759,3.37990197855327
homepos_h,2,36,456.714175975444,457.420284824643,0.706108849199325,3.38153889348767
homepos_h,3,36,472.111687525774,472.228684623843,0.116997098068737,3.38438965882504
homepos_h,4,36,483.232056179001,480.764100773811,-2.46795540519071,3.38147684286972
homepos_h,5,36,491.746187185837,491.260679995803,-0.485507190034412,3.3621900035705
homepos_h,6,36,499.569759288271,497.185736492265,-2.38402279600535,3.37237140789334
homepos_h,7,36,506.675740524666,503.549052462337,-3.12668806232909,3.37621061185321
homepos_h,8,36,511.827917034613,509.936158870097,-1.89175816451592,3.37031650400611
homepos_h,9,36,517.112646750781,514.389075435546,-2.72357131523495,3.37549717629491
homepos_h,10,36,517.011431629367,510.369808518797,-6.6416231105693,3.40551414973254
homepos_h,D10-D1,36,91.5131649566953,85.2278450102308,-6.28531994646454,1.84309040694277
