cnt,wave,group,pct
CRI,2022,More than 100 books,5.99407783532949
CRI,2022,25 books or fewer,80.2025051086605
CRI,2022,No valid ESCS,100
CRI,2022,Valid ESCS,0
CRI,2025,Parents with tertiary education (16 years),
CRI,2025,Parents with 12 years or fewer,
CRI,2025,HISEI >= 60,
CRI,2025,HISEI < 35,
CRI,2025,More than 100 books,5.7680911422074
CRI,2025,25 books or fewer,81.6257130467973
CRI,2025,No valid ESCS,100
CRI,2025,Valid ESCS,0
CZE,2022,Parents with tertiary education (16 years),37.343421427418
CZE,2022,Parents with 12 years or fewer,56.7463644031204
CZE,2022,HISEI >= 60,33.7634738911646
CZE,2022,HISEI < 35,30.8153540377646
CZE,2022,More than 100 books,41.3169404165154
CZE,2022,25 books or fewer,26.9569446319153
CZE,2022,No valid ESCS,2.03533439357132
CZE,2022,Valid ESCS,97.9646656064287
CZE,2025,Parents with tertiary education (16 years),43.7001806184072
CZE,2025,Parents with 12 years or fewer,55.4388978317712
CZE,2025,HISEI >= 60,36.3192448345295
CZE,2025,HISEI < 35,27.4807006734439
CZE,2025,More than 100 books,39.933669329476
CZE,2025,25 books or fewer,29.3695116704701
CZE,2025,No valid ESCS,5.63082188535977
CZE,2025,Valid ESCS,94.3691781146402
DEU,2022,Parents with tertiary education (16 years),48.1153322763578
DEU,2022,Parents with 12 years or fewer,43.8375793995046
DEU,2022,HISEI >= 60,36.7278082598967
DEU,2022,HISEI < 35,31.2901631441581
DEU,2022,More than 100 books,38.7659106725138
DEU,2022,25 books or fewer,32.3120851080357
DEU,2022,No valid ESCS,13.4924937548941
DEU,2022,Valid ESCS,86.5075062451059
DEU,2025,Parents with tertiary education (16 years),34.4268327226171
DEU,2025,Parents with 12 years or fewer,57.6615114953675
DEU,2025,HISEI >= 60,38.8540628076544
DEU,2025,HISEI < 35,28.4487264323737
DEU,2025,More than 100 books,41.5823443260914
DEU,2025,25 books or fewer,32.1882736481617
DEU,2025,No valid ESCS,16.9794299784868
DEU,2025,Valid ESCS,83.0205700215132
DNK,2022,Parents with tertiary education (16 years),74.1237322127719
DNK,2022,Parents with 12 years or fewer,15.9067480981088
DNK,2022,HISEI >= 60,66.0624184574593
DNK,2022,HISEI < 35,16.5520502895945
DNK,2022,More than 100 books,35.7746262413654
DNK,2022,25 books or fewer,30.9330074878293
DNK,2022,No valid ESCS,4.20300679298658
DNK,2022,Valid ESCS,95.7969932070134
DNK,2025,Parents with tertiary education (16 years),60.2608719302254
DNK,2025,Parents with 12 years or fewer,32.1986149822443
DNK,2025,HISEI >= 60,63.2355120702993
DNK,2025,HISEI < 35,15.4881400194186
DNK,2025,More than 100 books,33.1518892748309
DNK,2025,25 books or fewer,35.7927219932591
DNK,2025,No valid ESCS,7.64311708166824
DNK,2025,Valid ESCS,92.3568829183318
ESP,2022,Parents with tertiary education (16 years),64.5369993700607
ESP,2022,Parents with 12 years or fewer,24.326263374508
ESP,2022,HISEI >= 60,43.4908750745957
ESP,2022,HISEI < 35,36.8907278151594
ESP,2022,More than 100 books,33.8941625483473
ESP,2022,25 books or fewer,34.1020579397333
ESP,2022,No valid ESCS,4.15011888729287
