rule,n_systems,gap_2022,gap_2025,change,se,narrows_in
Occupation: HISEI >= 60 vs < 35,36,66.3878185100324,65.8704839149734,-0.517334595058969,1.00521159996355,19
Education: tertiary vs 12 years or fewer,36,43.6249094641144,53.7792239855609,10.1543145214465,0.907377069267555,5
Books: more than 100 vs 25 or fewer,36,79.9474328017834,76.511568670136,-3.43586413164735,1.00046885687673,25
Books: more than 100 vs 25 or fewer (with CRI),37,78.9752496966135,75.6408469560881,-3.33440274052538,1.01564496894637,25
Possessions: top vs bottom quartile of the fixed 16-item score,36,72.1920481663888,66.7652827961703,-5.42676537021845,1.32113372811223,25
Occupation and books,36,110.665970222469,105.666901088997,-4.99906913347178,1.38312587660811,28
"Occupation, education and books",36,113.818884803245,111.367123967826,-2.45176083541929,1.60229826736467,25
