version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.440945947516461,0.479317051535866,0.0383711040194052
published,HISEI - HOMEPOS,0.399440659515045,0.338847012054774,-0.0605936474602709
published,PARED - HOMEPOS,0.333090569136133,0.321717645318056,-0.0113729238180775
published,HISEI - achievement,0.335724306421608,0.329905324900777,-0.00581898152083121
published,PARED - achievement,0.235833926552335,0.297976560762947,0.0621426342106118
published,HOMEPOS - achievement,0.388632875648134,0.229921094570315,-0.158711781077818
harmonized,HISEI - PARED,0.451378206041743,0.479317051535866,0.0279388454941232
harmonized,HISEI - HOMEPOS,0.362910162262198,0.348133977026719,-0.0147761852354797
harmonized,PARED - HOMEPOS,0.309082066938244,0.32643557455067,0.0173535076124253
harmonized,HISEI - achievement,0.335724306421608,0.329905324900777,-0.00581898152083121
harmonized,PARED - achievement,0.238479011412617,0.297976560762947,0.0594975493503296
harmonized,HOMEPOS - achievement,0.297633384071973,0.268972736363194,-0.0286606477087792
