index,cnt,n_systems,Q1_2022,Q1_2025,Q1_change,Q1_se,Q2_2022,Q2_2025,Q2_change,Q2_se,Q3_2022,Q3_2025,Q3_change,Q3_se,Q4_2022,Q4_2025,Q4_change,Q4_se,Q2-Q1_2022,Q2-Q1_2025,Q2-Q1_change,Q2-Q1_se,Q3-Q1_2022,Q3-Q1_2025,Q3-Q1_change,Q3-Q1_se,Q4-Q1_2022,Q4-Q1_2025,Q4-Q1_change,Q4-Q1_se,Q3-Q2_2022,Q3-Q2_2025,Q3-Q2_change,Q3-Q2_se,Q4-Q2_2022,Q4-Q2_2025,Q4-Q2_change,Q4-Q2_se,Q4-Q3_2022,Q4-Q3_2025,Q4-Q3_change,Q4-Q3_se
escs,AUS,36,458.88261978541,469.155210182353,10.2725903969427,5.13378749321092,489.219580756105,499.718225792861,10.4986450367551,4.69086556576793,526.269360747842,535.872501001359,9.60314025351659,4.69618613166915,561.113711709885,549.207501990889,-11.9062097189958,5.08232384050796,30.3369609706955,30.5630156105079,0.226054639812446,4.87715027022085,67.3867409624324,66.7172908190063,-0.669450143426104,4.99653087839511,102.231091924475,80.0522918085367,-22.1788001159385,5.66813345192963,37.0497799917369,36.1542752084984,-0.89550478323855,4.10198854252704,71.8941309537797,49.4892761980287,-22.4048547557509,4.94212955300766,34.8443509620428,13.3350009895304,-21.5093499725124,4.26270281877409
escs,AUT,36,429.362549194594,449.095392565645,19.7328433710513,5.77341770237364,476.638979584819,489.351904367641,12.7129247828216,5.59821748255409,517.229361312996,521.793523888973,4.56416257597721,5.32892261057205,553.161610225065,546.921910814798,-6.23969941026701,5.56621707744275,47.2764303902251,40.2565118019954,-7.0199185882297,5.65186719028674,87.8668121184018,72.6981313233278,-15.1686807950741,5.24943174325549,123.799061030471,97.8265182491531,-25.9725427813183,6.0358923809396,40.5903817281767,32.4416195213323,-8.14876220684437,5.37909190341077,76.5226306402462,57.5700064471577,-18.9526241930886,5.59816723355167,35.9322489120696,25.1283869258253,-10.8038619862442,5.14935559820145
escs,BEL,36,432.743761775729,449.422394509614,16.6786327338848,5.89787412198237,471.046549657004,480.87139785337,9.82484819636528,5.19273522943942,513.219857529139,521.966995955561,8.747138426422,5.08564665575255,552.465378400464,547.194106417584,-5.27127198288054,5.70054875676477,38.302787881275,31.4490033437555,-6.85378453751952,5.42426805723336,80.47609575341,72.5446014459472,-7.9314943074628,5.60598494595691,119.721616624735,97.7717119079696,-21.9499047167653,6.72400549807873,42.173307872135,41.0955981021917,-1.07770976994328,4.69783807034194,81.4188287434599,66.3227085642141,-15.0961201792458,5.87106301892323,39.245520871325,25.2271104620224,-14.0184104093025,5.12733205965993
escs,CAN,36,479.353976731794,480.368038584493,1.01406185269929,4.61135121881272,505.864256961852,511.565884288007,5.70162732615461,4.36712321699701,530.016632272817,538.44573769779,8.42910542497248,4.48296767364929,551.868016013527,538.858914903379,-13.0091011101475,5.2095416094672,26.5102802300583,31.1978457035136,4.68756547345532,3.82781245078481,50.6626555410236,58.0776991132968,7.41504357227319,4.12827405539895,72.5140392817329,58.4908763188861,-14.0231629628468,4.95919705133826,24.1523753109653,26.8798534097832,2.72747809881787,3.58647782318002,46.0037590516746,27.2930306153725,-18.7107284363021,4.33970739269414,21.8513837407093,0.41317720558925,-21.43820653512,4.18468782195217
escs,CHE,36,447.259085140763,456.850223952724,9.5911388119614,5.69774295175979,485.899657344236,491.791260870375,5.89160352613823,5.36993245023773,519.310371971401,528.70946980757,9.39909783616952,5.42653837317508,566.871918964942,555.667416993058,-11.2045019718837,5.5428096161497,38.6405722034738,34.9410369176507,-3.69953528582317,5.52488206296186,72.0512868306382,71.8592458548463,-0.192040975791883,5.76414519065181,119.612833824179,98.817193040334,-20.7956407838451,6.49299492026986,33.4107146271644,36.9182089371957,3.50749431003129,5.21308482580265,80.9722616207053,63.8761561226834,-17.0961054980219,5.40598392658433,47.5615469935409,26.9579471854877,-20.6035998080532,5.58806024770314
escs,CHL,36,409.535391309993,415.271038688826,5.73564737883322,6.07090092898454,436.278335050514,432.807935447243,-3.47039960327101,5.58911655671743,449.577145696962,449.143802437236,-0.433343259725973,5.51142837890392,489.241135426942,491.382852348591,2.14171692164894,5.46142472847154,26.7429437405208,17.5368967584166,-9.20604698210423,5.51227489519577,40.0417543869685,33.8727637484093,-6.16899063855919,6.29614793119729,79.7057441169488,76.1118136597645,-3.59393045718429,6.82227950503672,13.2988106464477,16.3358669899927,3.03705634354503,5.46765965029172,52.9628003764279,58.5749169013479,5.61211652491994,5.62263160385337,39.6639897299802,42.2390499113552,2.57506018137491,5.62372448545871
escs,COL,36,375.536460268396,377.346910568981,1.81045030058471,5.34288239076139,397.680859637444,406.16499967595,8.48414003850593,5.55519367649822,413.799523315827,423.069031202413,9.26950788658627,6.2397384119557,465.198050596868,470.565843840221,5.36779324335339,8.60077888647553,22.1443993690477,28.8180891069689,6.67368973792122,5.29795590443023,38.2630630474309,45.7221206334324,7.45905758600156,5.78408245113496,89.6615903284716,93.2189332712402,3.55734294276868,9.16183618761037,16.1186636783832,16.9040315264635,0.785367848080341,4.90785675678144,67.5171909594239,64.4008441642714,-3.11634679515254,8.60272832523652,51.3985272810407,47.4968126378078,-3.90171464323288,8.3448785633112
escs,CZE,36,437.085703592917,446.313829738177,9.22812614526055,5.52248669271154,489.878475341955,480.721813200321,-9.15666214163434,5.41912005610623,509.728392093114,504.960021028258,-4.76837106485647,5.63407949032027,555.714663046409,542.140882781653,-13.573780264756,6.36601515145332,52.7927717490383,34.4079834621434,-18.3847882868949,5.2739829439439,72.6426885001971,58.6461912900801,-13.996497210117,5.62129291336681,118.628959453492,95.8270530434752,-22.8019064100166,7.33058191920887,19.8499167511588,24.2382078279367,4.38829107677788,5.31043196381571,65.8361877044534,61.4190695813318,-4.41711812312167,6.17345128403528,45.9862709532947,37.1808617533951,-8.80540919989954,6.28176621436698
escs,DEU,36,443.258518035926,436.003112184245,-7.25540585168034,6.50679832454621,481.43913378739,485.401605445631,3.9624716582407,6.32317535822222,506.989193133824,516.116004147584,9.12681101375978,6.47640731787795,563.88974931322,560.91464333651,-2.97510597670998,6.45486387862447,38.1806157514644,49.3984932613855,11.217877509921,6.58051976439406,63.7306750978987,80.1128919633388,16.3822168654401,6.86164300342489,120.631231277294,124.911531152265,4.28029987497035,7.69722434880311,25.5500593464343,30.7143987019534,5.16433935551908,6.06777650082431,82.4506155258297,75.5130378908791,-6.93757763495069,6.8390753940808,56.9005561793954,44.7986391889257,-12.1019169904698,6.53720178814448
escs,DNK,36,451.749350825692,443.357107124854,-8.39224370083815,5.56594544111435,482.574973181722,473.779012775853,-8.7959604058691,5.6107982791495,513.323200845446,506.818223896062,-6.50497694938338,5.56126921108383,532.113474164417,512.566150526496,-19.5473236379206,6.69770655292354,30.8256223560308,30.4219056509998,-0.403716705030945,5.63376758677771,61.5738500197541,63.4611167712089,1.88726675145477,5.82107714578654,80.3641233387248,69.2090434016423,-11.1550799370825,7.44942023899647,30.7482276637234,33.0392111202091,2.29098345648572,6.37324209512759,49.538500982694,38.7871377506425,-10.7513632320515,6.37278025669403,18.7902733189707,5.74792663043343,-13.0423466885372,7.05708967938839
escs,ESP,36,447.615248194962,443.121717301358,-4.49353089360426,4.56543450095004,472.567973233712,469.053460880373,-3.5145123533386,4.30534049615947,495.250924224968,497.934040876282,2.68311665131421,4.05710201831378,526.922045349071,514.332207602312,-12.589837746759,4.425810056484,24.9527250387496,25.9317435790152,0.979018540265656,3.55501802917169,47.6356760300056,54.8123235749241,7.17664754491847,3.62913411361314,79.3067971541087,71.2104903009539,-8.09630685315477,4.20003252418005,22.6829509912561,28.8805799959089,6.19762900465281,2.71240235939841,54.3540721153591,45.2787467219387,-9.07532539342043,3.74602538161505,31.671121124103,16.3981667260298,-15.2729543980732,3.44834193182326
escs,EST,36,490.394330625677,491.867142856076,1.47281223039909,5.21392286752896,512.413993109847,514.741626197895,2.32763308804783,5.1457258522836,536.137928853086,548.288410395719,12.1504815426326,5.1973485504666,566.691389568717,559.916759760928,-6.77462980778876,5.73215935133013,22.0196624841707,22.8744833418195,0.854820857648747,4.81471772077004,45.7435982274098,56.4212675396433,10.6776693122335,5.00562353609484,76.2970589430403,68.0496169048525,-8.24744203818784,6.14452387159541,23.7239357432391,33.5467841978239,9.8228484545848,5.24547794341417,54.2773964588696,45.175133563033,-9.10226289583659,5.86013610301101,30.5534607156305,11.6283493652091,-18.9251113504214,5.33413484031605
escs,FIN,36,470.209974538004,469.846027401916,-0.363947136087802,5.38107015163274,494.931615801617,495.523094141855,0.591478340238439,5.21412295038884,527.157918067223,530.549511592494,3.39159352527099,5.25545921703007,559.460290885601,547.718985859803,-11.7413050257979,5.55653034637397,24.7216412636132,25.6770667399394,0.955425476326241,5.02336154943675,56.9479435292199,60.7034841905787,3.75554066135879,5.19061293131755,89.2503163475978,77.8729584578877,-11.3773578897101,5.65998484743353,32.2263022656068,35.0264174506393,2.80011518503255,4.84256301248439,64.5286750839846,52.1958917179483,-12.3327833660364,5.43568763202154,32.3023728183779,17.1694742673089,-15.1328985510689,5.12387658396293
escs,FRA,36,429.416975029449,442.725869215387,13.3088941859372,6.15263703207415,469.107720659956,476.205463735195,7.09774307523918,5.51727013416673,506.49834054286,507.757881926238,1.25954138337829,5.64008884447013,550.799724592137,542.731933652826,-8.06779093931141,5.9144055635902,39.6907456305062,33.4795945198082,-6.21115111069804,5.92118311486037,77.0813655134105,65.0320127108516,-12.0493528025589,6.02400278930029,121.382749562688,100.006064437439,-21.3766851252486,6.86333715322088,37.3906198829043,31.5524181910434,-5.83820169186089,5.12749814958031,81.6920039321817,66.5264699176311,-15.1655340145506,6.09824795699841,44.3013840492774,34.9740517265877,-9.3273323226897,5.24674198871701
escs,GBR,36,466.399926656394,479.200290906714,12.8003642503196,5.58252071093044,490.31430199839,506.396068107753,16.0817661093633,5.80500447578059,506.966950166416,530.701969946997,23.7350197805818,5.35146299038243,558.118756328028,559.224520359003,1.10576403097457,6.73533276705929,23.9143753419955,27.1957772010392,3.28140185904374,6.03013346356755,40.5670235100214,51.5016790402836,10.9346555302622,6.18713821006139,91.7188296716341,80.024229452289,-11.694600219345,7.55163907043071,16.6526481680259,24.3059018392444,7.65325367121847,5.97020860105587,67.8044543296386,52.8284522512498,-14.9760020783888,7.58117476166156,51.1518061616127,28.5225504120054,-22.6292557496072,6.78620953620195
escs,GRC,36,404.321521637357,399.425494631453,-4.89602700590456,6.09334537171604,426.082238789132,423.946316154929,-2.13592263420372,5.38788060332817,449.596547530738,454.884088720089,5.28754118935063,5.55274588544869,485.966544995239,475.410182249528,-10.5563627457109,6.27713309762746,21.760717151775,24.5208215234758,2.76010437170083,5.73537143222101,45.2750258933811,55.4585940886363,10.1835681952552,5.98086542030249,81.6450233578818,75.9846876180755,-5.66033573980639,6.8585704291049,23.5143087416061,30.9377725651605,7.42346382355436,4.79062051809094,59.8843062061068,51.4638660945996,-8.42044011150722,5.72233738010798,36.3699974645007,20.5260935294392,-15.8439039350616,5.4267281212797
escs,HUN,36,423.795102571148,430.543155639163,6.74805306801534,6.03720233372037,468.06875290797,469.691067231024,1.62231432305356,5.38114535400596,506.085077006854,498.897373495164,-7.18770351168922,5.60162468686579,548.945798669257,533.036602001485,-15.9091966677722,6.48663245545966,44.2736503368226,39.1479115918609,-5.12573874496178,5.93567853521897,82.2899744357057,68.3542178560011,-13.9357565797046,6.5953310461076,125.150696098109,102.493446362321,-22.6572497357876,7.69303930454082,38.0163240988831,29.2063062641403,-8.81001783474278,5.33353806108165,80.8770457612862,63.3455347704605,-17.5315109908258,6.75567255197026,42.8607216624032,34.1392285063202,-8.721493156083,5.9750694995075
escs,IRL,36,466.950321756178,465.753880769054,-1.19644098712462,5.19728790389622,489.539977919114,487.165597407663,-2.37438051145148,4.9990300191045,517.732233998644,517.278828344354,-0.453405654289895,4.94047275619504,545.002381473066,538.231236480267,-6.77114499279924,5.33554304067785,22.589656162936,21.4117166386092,-1.17793952432686,4.86120511404237,50.7819122424654,51.5249475753001,0.743035332834722,5.27278914354556,78.052059716888,72.4773557112134,-5.57470400567462,5.56350257173117,28.1922560795294,30.113230936691,1.92097485716158,4.66599171715264,55.462403553952,51.0656390726043,-4.39676448134776,5.19068896093082,27.2701474744226,20.9524081359133,-6.31773933850934,4.80952113069474
escs,ISL,36,402.716449907759,415.266918469637,12.550468561878,5.54436008387954,441.483411617734,446.022151509778,4.53873989204357,5.68833661104437,460.521814335103,466.382945438591,5.86113110348805,5.63348985647104,486.290430836668,481.006407003845,-5.28402383282355,5.99141089765308,38.7669617099754,30.755233040141,-8.01172866983438,6.87856198686966,57.8053644273439,51.116026968954,-6.6893374583899,6.51018660723949,83.5739809289093,65.7394885342078,-17.8344923947015,7.21401763274341,19.0384027173685,20.360793928813,1.32239121144448,6.73167799739115,44.8070192189339,34.9842554940668,-9.82276372486712,6.8987445763038,25.7686165015654,14.6234615652538,-11.1451549363116,6.55874468256447
escs,ISR,36,406.770854037985,414.138439474089,7.36758543610364,6.37388186717862,447.307658176064,447.019929465966,-0.287728710098179,6.23990008377999,490.255819081531,482.907823752192,-7.34799532933869,6.65992391622006,525.957454747088,496.136866587288,-29.8205881597996,6.81553360529707,40.5368041380792,32.8814899918774,-7.65531414620182,6.81007893392642,83.4849650435459,68.7693842781035,-14.7155807654423,6.88931169070017,119.186600709103,81.9984271131996,-37.1881735959033,7.19178406844392,42.9481609054666,35.8878942862261,-7.06026661924051,6.04170726244026,78.6497965710237,49.1169371213222,-29.5328594497015,6.61681645001304,35.701635665557,13.2290428350961,-22.4725928304609,6.3301086867137
escs,ITA,36,434.169067503106,445.470796762171,11.3017292590649,5.64176101053775,470.31846500852,475.375695304474,5.0572302959543,5.60611719054566,487.192479668745,496.026695477332,8.83421580858658,5.44402868700136,521.71969093697,524.684338189667,2.96464725269766,6.49547054767035,36.1493975054132,29.9048985423027,-6.24449896311057,4.97856655082901,53.0234121656387,50.5558987151604,-2.46751345047829,5.82869912289559,87.550623433863,79.2135414274958,-8.33708200636721,6.91016496587619,16.8740146602255,20.6510001728578,3.77698551263228,4.66528069038808,51.4012259284498,49.3086428851931,-2.09258304325664,6.0534732124773,34.5272112682243,28.6576427123354,-5.86956855588892,5.39912348274785
escs,JPN,36,510.815155101067,503.618517930566,-7.19663717050042,7.32095375915302,538.088921832455,532.73096837819,-5.35795345426527,6.16931412010324,557.971413194223,552.906763355354,-5.06464983886849,6.10302465801597,582.066374551422,574.846617657588,-7.21975689383373,7.11638042334619,27.2737667313885,29.1124504476236,1.83868371623515,6.17466920045562,47.1562580931558,49.2882454247877,2.13198733163193,6.96371479899797,71.2512194503546,71.2280997270213,-0.0231197233333091,8.91748710903968,19.8824913617673,20.1757949771641,0.293303615396781,5.50216539725471,43.9774527189661,42.1156492793976,-1.86180343956846,7.13994914690273,24.0949613571988,21.9398543022336,-2.15510705496524,5.74577481324413
escs,KOR,36,486.139691651527,488.469701314614,2.33000966308737,6.99908201928659,515.565529453775,524.604216901617,9.03868744784211,6.30352370926419,538.840404364554,547.417591124561,8.57718676000695,6.34007011328007,572.876913296894,557.729096871046,-15.147816425848,7.42678585281014,29.4258378022483,36.134515587003,6.70867778475474,6.0344006668727,52.7007127130278,58.9478898099474,6.24717709691959,6.66084931153317,86.7372216453675,69.2593955564322,-17.4778260889353,8.41909677272642,23.2748749107795,22.8133742229444,-0.461500687835155,6.03142420520521,57.3113838431192,33.1248799694291,-24.1865038736901,8.03833460368634,34.0365089323396,10.3115057464847,-23.7250031858549,7.32297335395875
escs,LTU,36,444.386101293538,460.65519793619,16.2690966426524,5.1055417850366,468.464358283118,480.642807888603,12.1784496054844,4.84392815009517,498.880742783385,511.182164746189,12.3014219628034,5.11743401793701,532.144286723061,522.812111989197,-9.33217473386367,5.67379369152429,24.07825698958,19.9876099524121,-4.09064703716791,4.67910933274888,54.4946414898473,50.5269668099983,-3.96767467984893,5.2765513762874,87.7581854295228,62.1569140530068,-25.601271376516,6.07963116469368,30.4163845002673,30.5393568575863,0.122972357318986,4.98813632194267,63.6799284399428,42.1693041005947,-21.5106243393481,5.55458785270416,33.2635439396756,11.6299472430085,-21.6335966966671,4.86435320362914
escs,LVA,36,460.642286168412,448.858861181014,-11.783424987398,5.38122576927628,481.271281771671,473.089093949245,-8.1821878224265,5.57467013518352,503.319326409094,490.670958001554,-12.6483684075397,5.32670793461672,533.424295101294,507.041211035808,-26.3830840654858,5.20338582187323,20.6289956032594,24.2302327682309,3.60123716497145,5.12678871412634,42.6770402406815,41.8120968205398,-0.864943420141742,5.24841068673733,72.7820089328818,58.182349854794,-14.5996590780878,5.85022355677796,22.0480446374222,17.581864052309,-4.46618058511319,5.69835033999719,52.1530133296224,33.9521170865631,-18.2008962430593,5.57682408164544,30.1049686922003,16.3702530342542,-13.7347156579461,5.61322971628226
escs,MEX,36,379.458661676596,383.008526621166,3.54986494457,4.64967321585108,398.28819204923,406.835380601519,8.54718855228867,5.02294247485671,414.45999699696,420.201671677597,5.74167468063689,5.30287044639314,447.406540265033,450.866391060882,3.45985079584875,6.27256044435129,18.8295303726341,23.8268539803527,4.99732360771867,4.32225964191969,35.0013353203641,37.193145056431,2.19180973606689,4.86262601428628,67.9478785884369,67.8578644397157,-0.0900141487212522,6.27616460960766,16.17180494773,13.3662910760783,-2.80551387165178,4.66957353133304,49.1183482158029,44.031010459363,-5.08733775643992,6.43433348704211,32.9465432680729,30.6647193832847,-2.28182388478814,6.10578297741352
escs,NLD,36,440.756583847347,438.622260329625,-2.13432351772224,7.56333009354426,465.461455108183,473.705322881192,8.24386777300873,7.15665794407948,511.561746512482,512.73908260556,1.17733609307805,6.52311002691136,551.056675994339,543.548896637664,-7.50777935667497,6.29984616825212,24.7048712608363,35.0830625515673,10.378191290731,6.28960579221553,70.8051626651349,74.1168222759352,3.31165961080029,7.97258617404802,110.300092146992,104.926636308039,-5.37345583895274,8.85158656126559,46.1002914042986,39.0337597243679,-7.06653167993068,6.918228875349,85.5952208861554,69.8435737564717,-15.7516471296837,7.95440983693924,39.4949294818568,30.8098140321038,-8.68511544975303,6.72803316970469
escs,NOR,36,435.9029370008,432.063396570688,-3.83954043011187,5.24231448927996,469.311045278157,469.178418731136,-0.132626547020948,5.33388521973719,495.147563197694,495.808065866503,0.660502668808761,5.31159591067345,525.730037344257,508.774108881793,-16.9559284624644,5.84664750390839,33.4081082773562,37.1150221604472,3.70691388309092,5.43639430438068,59.2446261968939,63.7446692958146,4.50004309892063,5.95153094002708,89.8271003434571,76.7107123111046,-13.1163880323525,6.31630858588455,25.8365179195377,26.6296471353674,0.793129215829708,5.66423443686604,56.4189920661008,39.5956901506574,-16.8233019154434,5.99512915838231,30.5824741465631,12.96604301529,-17.6164311312731,5.68763308199223
escs,NZL,36,452.683230806687,472.959691121506,20.2764603148188,5.49064702604085,497.782234918262,503.533594380914,5.75135946265192,5.53969979276371,528.585537853131,540.713601225441,12.1280633723103,5.8155273130579,558.649175670149,562.314597394564,3.66542172441427,5.5473103743408,45.0990041115745,30.5739032594076,-14.5251008521669,5.07714298029197,75.9023070464435,67.753910103935,-8.1483969425085,6.16079167833474,105.965944863462,89.3549062730576,-16.6110385904045,6.38103249370102,30.8033029348691,37.1800068445274,6.37670390965837,6.33796468622726,60.8669407518877,58.78100301365,-2.08593773823765,6.50068856866844,30.0636378170186,21.6009961691226,-8.46264164789602,6.5365654817122
escs,POL,36,454.526278807555,458.633630961639,4.10735215408357,5.40188546801212,487.012429314276,483.432178815517,-3.58025049875897,5.55241708693835,512.722516230593,517.875243284861,5.15272705426787,5.72013998816654,548.881985886773,540.367575275728,-8.51441061104504,5.88533979976111,32.4861505067208,24.7985478538783,-7.68760265284254,4.87337295992423,58.1962374230384,59.2416123232227,1.0453749001843,5.49852065274848,94.3557070792181,81.7339443140895,-12.6217627651286,6.71328398703784,25.7100869163176,34.4430644693444,8.73297755302684,5.11108329123385,61.8695565724972,56.9353964602112,-4.93416011228607,6.21111851810406,36.1594696561797,22.4923319908668,-13.6671376653129,5.6561803219571
escs,PRT,36,444.683406886458,442.232107304452,-2.4512995820059,5.91821353536468,467.933766953653,469.501120493544,1.56735353989092,5.81456116993523,492.199709811443,496.909147205514,4.70943739407016,5.72172577520258,536.595439905487,533.762797697102,-2.83264220838498,5.95127518664969,23.2503600671953,27.2690131890922,4.01865312189682,5.01276863028018,47.5163029249857,54.6770399010617,7.16073697607607,5.50877489872877,91.9120330190295,91.5306903926505,-0.38134262637908,6.65874453376445,24.2659428577903,27.4080267119696,3.14208385417925,5.32459757327827,68.6616729518342,64.2616772035583,-4.3999957482759,6.15682260478864,44.3957300940439,36.8536504915887,-7.54207960245515,5.8419282970367
escs,SVK,36,389.675682514234,421.200213294718,31.5245307804842,6.31327983638014,453.374584197355,467.450885457845,14.0763012604901,5.75072965568391,479.493958348454,494.161504775898,14.6675464274444,5.62012547208876,527.493786992056,535.662619679852,8.16883268779611,6.47758139873764,63.6989016831212,46.2506721631271,-17.4482295199941,6.24693162024507,89.8182758342199,72.9612914811801,-16.8569843530398,7.06886588378126,137.818104477822,114.462406385134,-23.355698092688,8.43747741455873,26.1193741510987,26.710619318053,0.591245166954309,5.51654391170734,74.1192027947008,68.2117342220068,-5.90746857269397,7.15490791665427,47.999828643602,41.5011149039538,-6.49871373964828,5.73628710367661
escs,SVN,36,455.150094252281,450.127370061481,-5.02272419079981,5.11073813673966,485.362593142656,475.954172571812,-9.40842057084376,5.0397023637847,516.716039828094,513.409909629479,-3.3061301986146,5.08791605069231,546.340596400858,521.803843986535,-24.5367524143233,5.05162841693278,30.2124988903753,25.8268025103313,-4.38569638004395,5.70182592679358,61.5659455758127,63.2825395679979,1.71659399218521,5.6890028688373,91.190502148577,71.6764739250535,-19.5140282235234,5.77731264051723,31.3534466854374,37.4557370576666,6.10229037222916,5.52075850641969,60.9780032582017,45.8496714147222,-15.1283318434795,5.79897851050859,29.6245565727643,8.39393435705563,-21.2306222157087,5.91646356932284
