item,label,pct_yes,n_systems,r_score
ST250Q08DA,Electric lighting,99.40013857552368,1,0.07198779961899289
ST250Q13DA,Table for meals,96.00640378371634,1,0.09458912811200074
ST250Q12DA,Stove/burner,94.94852476549039,2,0.12209107824229522
ST250Q09DA,Plumbed water,94.359784914887,2,0.1192380594251297
ST250Q18DA,Air conditioning/heating,89.6189409738803,11,0.13004262235351327
ST250Q15DA,Refrigerator,88.57251743436758,4,0.08838577546687051
ST250Q23DA,Smart TV,86.49287114228176,8,-0.03404861141894638
ST250Q20DA,Quiet place to study,86.33124952228931,21,0.08535946718115392
ST250Q26DA,TV/streaming subscription,85.74565167353427,25,0.02923127602735716
ST250Q16DA,Sewer connection,84.84270175755401,2,0.23037186693282796
ST250Q10DA,Off-street parking,79.23097272653433,4,0.1605104033789942
ST250Q24DA,Dishwasher,75.4528388128768,15,0.11807497915943901
ST250Q25DA,Own tablet,50.06817328646592,14,-0.07404883412573039
ST250Q22DA,Security system,46.49541851926386,26,-0.013827342196041368
ST250Q19DA,Guest room,36.45420005993256,22,-0.014081684111766973
ST250Q28DA,Newspaper subscription,30.808056156985607,8,0.0786227452577005
ST250Q21DA,Swimming pool/jacuzzi,26.931686391291976,18,-0.05344960185283196
ST250Q27DA,Domestic workers,18.99111428697884,22,-0.0540417305547986
ST250Q11DA,Garbage collection,,0,
ST250Q14DA,Vacuum cleaner,,0,
