version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.4409459475164606,0.4793170515358656,0.03837110401940502
published,HISEI - HOMEPOS,0.39944065951504537,0.33884701205477447,-0.060593647460270905
published,PARED - HOMEPOS,0.3330905691361332,0.3217176453180557,-0.01137292381807753
published,HISEI - achievement,0.3148818703896938,0.30155071157136526,-0.013331158818328526
published,PARED - achievement,0.21776432422766423,0.2654731080621678,0.047708783834503554
published,HOMEPOS - achievement,0.35568420699696235,0.18608352856716948,-0.16960067842979287
harmonized,HISEI - PARED,0.45137820604174256,0.4793170515358656,0.027938845494123066
harmonized,HISEI - HOMEPOS,0.36290980341321544,0.34813360143289784,-0.014776201980317594
harmonized,PARED - HOMEPOS,0.30908186361286705,0.3264352461061337,0.017353382493266678
harmonized,HISEI - achievement,0.31488187038969373,0.3015507115713652,-0.013331158818328526
harmonized,PARED - achievement,0.21941896949068906,0.26547310806216784,0.046054138571478775
harmonized,HOMEPOS - achievement,0.26123156285349813,0.22860398235688884,-0.0326275804966093
