cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonized,mismatch
AUS,487.0842535121307,0.379366600098662,11.002585272014857,-18.42382545384872,-3.0094445088407724,-15.414380945007949
AUT,487.2674989673574,0.06906735838519017,11.09276986530205,-25.05069195352023,-10.774222485879818,-14.27646946764041
BEL,489.4868167449449,0.08287633453443578,11.044567313933994,-19.725959739464106,-8.093960304394031,-11.631999435070075
CAN,496.9478944357038,0.3811020834349589,10.978202049920776,-13.6435785000927,-1.1944790043614404,-12.449099495731259
CHE,507.99058644870286,0.16916674411868815,11.359334595789768,-19.247868377933077,-3.447030665290569,-15.800837712642508
CHL,411.6965707080961,-0.5086492927143373,10.294192644924529,0.5867145084471161,9.030849985216946,-8.44413547676983
COL,382.6968351295673,-1.0651248666066762,9.823292217794487,-0.4684773231595613,5.587099794938126,-6.055577118097688
CZE,486.99920785192444,-0.10408606887443415,10.787062133566062,-16.17965894418994,-1.2781597837096257,-14.901499160480313
DEU,474.82645390785706,-0.1369900180181201,11.063162470656692,0.2270964132075335,11.74663895115225,-11.519542537944716
DNK,489.273876942411,0.47607773941944276,11.143157599433199,-16.065565435997144,-0.2104570951929076,-15.855108340804236
ESP,473.1402080246069,-0.033199497264932515,10.752216124211673,-13.674964916336153,0.154324642209346,-13.829289558545499
EST,509.94695322476144,0.1507251881096396,10.671849334732508,-5.321208737002294,5.882461345104133,-11.203670082106427
FIN,484.1392256377669,0.2584828367937594,10.95200417407316,-12.290521474632456,4.020385239977429,-16.310906714609885
FRA,473.9444184205984,0.00018539079304115026,10.890680521722919,-18.02755441771994,-4.5904709586903465,-13.437083459029594
GBR,488.97508506576366,0.13638065860924,10.896364587037436,0.2972165514859881,10.951698270930066,-10.654481719444078
GRC,430.14632185328054,-0.154869593520961,10.486489892568931,1.0512925427952098,12.988600053436471,-11.937307510641261
HUN,472.77612237193983,0.0029782271706394908,10.611793534130534,-17.22686147307357,-6.645766995831764,-10.581094477241805
IRL,491.6482795918827,0.3329791371384958,11.720000416950425,-1.165667296921967,5.063564260696438,-6.229231557618405
ISL,458.91401434518576,0.3781051237992792,11.106178197949012,-13.959030189408324,1.780189956257594,-15.739220145665918
ISR,457.8966665933153,0.27995699607366575,10.78171007225928,-41.515528892261045,-21.64313561160252,-19.872393280658525
ITA,471.2594754762866,-0.10021047625315674,10.86538868280361,-6.088088557039342,5.493573974323027,-11.581662531362369
JPN,535.5793059957158,-0.006825021709761774,10.754052084685293,-2.02418069175576,14.98865983203116,-17.01284052378692
KOR,527.3025017804584,0.22438568549861265,10.88235119184817,-7.077728770980528,8.229782013455463,-15.30751078443599
LTU,475.1467619772571,0.052295066124230585,10.75026945251955,-25.97489171326265,-11.4564171568216,-14.518474556441051
LVA,483.15945520181765,-0.009482523427919614,10.537911531386063,-16.412811711254115,-7.468023202609146,-8.944788508644969
MEX,395.0299192187101,-0.9524373255716473,9.970765631868323,-1.28320219475426,2.535708623906672,-3.818910818660932
NLD,492.6756389784962,0.2534607822800931,11.174988660714414,-4.255510731381335,-1.6897408095729247,-2.5657699218084105
NOR,468.44994989168754,0.5214971144813197,11.462787504617456,-2.454276012929256,12.982343713080809,-15.436619726010065
NZL,479.07419345237787,0.21906359919765708,10.81663303396012,-16.04474674464008,-2.186863631462103,-13.857883113177976
POL,488.9600537637015,-0.10514068515163943,10.678330417997634,-14.95298883119638,-2.729568935860428,-12.223419895335953
PRT,471.91052210574856,-0.22635525994346117,10.623054174662954,-1.151914979393197,5.585384439948953,-6.7372994193421505
SVK,463.9946184782649,-0.3029966638479775,10.56227580722072,-16.950987452149775,0.7154080331853265,-17.6663954853351
SVN,484.52900864834976,0.22580826383510563,10.75915500275801,-24.762953964459257,-2.4114960406194115,-22.351457923839845
SWE,481.76606539700725,0.326591020590031,11.043633585968013,-19.162689592345885,-1.3180558268257414,-17.844633765520143
TUR,453.15176740183233,-1.1854430482598908,10.419921752943475,13.9580110485157,23.49309878635449,-9.53508773783879
USA,464.888043012123,0.05616286857446633,11.195865978937524,-9.014990714738246,6.046565934675044,-15.06155664941329
