,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.29982972823132964,-0.3862775544561608,-0.49227986317378164
published,-0.21256961343560854,-0.2461899247349822,-0.499798629318742
harmonized,-0.1098842075665026,-0.10761454912779421,-0.3654465212436503
