rule,n_systems,gap_2022,gap_2025,change,se,narrows_in
Occupation: HISEI >= 60 vs < 35,36,67.20223589994225,64.1118374298873,-3.09039847005495,1.0330288929038576,22
Education: tertiary vs 12 years or fewer,36,43.12360378028826,50.01110169713961,6.887497916851345,0.923711413961113,9
Books: more than 100 vs 25 or fewer,36,86.91825850649397,80.89821167047089,-6.020046836023084,1.0974057653464335,27
Books: more than 100 vs 25 or fewer (with CRI),37,85.97400552110858,80.14628632329766,-5.8277191978109215,1.1086180614098762,27
Possessions: top vs bottom quartile of the fixed 16-item score,36,69.58562868952836,62.090826830577086,-7.494801858951277,1.517240907800107,27
Occupation and books,36,116.6059427303192,107.48094340163134,-9.124999328687863,1.5879771597111376,31
"Occupation, education and books",36,118.23638421761302,110.29823356099385,-7.938150656619172,1.768660854101628,26
