group,n_systems,pct_2022,pct_2025,mean_2022,mean_2025,change,se
Parents with tertiary education (16 years),36,55.102606486661315,51.630916480819494,494.4924253999046,496.50150135655383,2.0090759566492125,1.4507786996883378
Parents with 12 years or fewer,36,33.5970374567842,38.70010035311177,450.8675159357901,442.7222773709929,-8.145238564797182,1.3906772087858807
HISEI >= 60,36,45.36251078022438,48.18445202572761,508.3705026339796,501.9525866351047,-6.417915998874889,1.4481419753069826
HISEI < 35,36,29.989021243086583,26.98376078002574,441.98268412394754,436.0821027201312,-5.900581403816318,1.4097944529755329
More than 100 books,36,34.20487551956057,33.455329992887755,512.7062075131182,503.0453377271473,-9.660869785970931,1.4881414888490756
25 books or fewer,36,36.46439257217136,37.74049989902637,432.758774711335,426.53376905701134,-6.225005654323638,1.415823262769974
No valid ESCS,34,3.770474317841673,8.122075557092924,429.7140504250813,395.62971237599197,-34.084338049089354,2.5475996250986186
Valid ESCS,36,96.22952568215833,91.87792444290707,476.4717880968299,470.65781717876996,-5.813970918059965,1.3700002368847326
