,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.42903949373228856,-0.3976340997957868,-0.5938667007839571
published,-0.28393616560768153,-0.17957822810308116,-0.5464479792399347
harmonized,-0.09604744436265711,0.014331124767200826,-0.32267886194666756
