cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonized,mismatch
AUS,507.0008693485719,0.379366600098662,11.002585272014857,-22.17880011593849,-2.384147749452808,-19.794652366485682
AUT,491.27095872010716,0.06906735838519017,11.09276986530205,-25.972542781318168,-10.172450331855911,-15.800092449462257
BEL,490.5783460591944,0.08287633453443578,11.044567313933994,-21.94990471676537,-8.616172250753209,-13.333732466012162
CAN,515.0166759982307,0.3811020834349589,10.978202049920776,-14.000212244761066,-0.8911773344669882,-13.109034910294078
CHE,502.52324153223213,0.16916674411868815,11.359334595789768,-20.79564078384513,-2.6578983452512404,-18.13774243859389
CHL,443.5434024052521,-0.5086492927143373,10.294192644924529,-3.593930457184314,6.588587700629702,-10.182518157814016
COL,411.1206732476463,-1.0651248666066762,9.823292217794487,3.557342942768741,9.94442730386207,-6.387084361093329
CZE,497.74204696346357,-0.10408606887443415,10.787062133566062,-22.801906410016517,-6.524915734926225,-16.276990675090293
DEU,492.4267295061774,-0.1369900180181201,11.063162470656692,4.280299874970325,17.942290259597385,-13.66199038462706
DNK,493.815711696791,0.47607773941944276,11.143157599433199,-11.155079937082531,8.292273901697328,-19.44735383877986
ESP,484.53364843016817,-0.033199497264932515,10.752216124211673,-8.096787633923867,8.093644862409036,-16.190432496332903
EST,525.8117784943654,0.1507251881096396,10.671849334732508,-8.247442038187799,3.9204483704102415,-12.16789040859804
FIN,510.95885052909244,0.2584828367937594,10.95200417407316,-11.377357889710154,7.1057507814125245,-18.48310867112268
FRA,487.2252787111397,0.00018539079304115026,10.890680521722919,-21.290028583308256,-6.536838213563541,-14.753190369744715
GBR,499.67021378265724,0.13638065860924,10.896364587037436,-11.601614918813809,1.1543228370528311,-12.75593775586664
GRC,440.7860604735595,-0.154869593520961,10.486489892568931,-5.6603357398063565,5.783929612837184,-11.44426535264354
HUN,485.89015850001374,0.0029782271706394908,10.611793534130534,-22.657249735787587,-11.44753388823078,-11.209715847556808
IRL,503.8455371609126,0.3329791371384958,11.720000416950425,-5.574704005674718,4.523214443566374,-10.097918449241092
ISL,446.9671142285631,0.3781051237992792,11.106178197949012,-17.834492394701513,1.2094106040929375,-19.04390299879445
ISR,464.7518251675384,0.27995699607366575,10.78171007225928,-37.188173595903365,-14.078579697997398,-23.109593897905967
ITA,477.4633659372427,-0.10021047625315674,10.86538868280361,-8.337082006367211,3.211722545742859,-11.54880455211007
JPN,546.6344535500579,-0.006825021709761774,10.754052084685293,-0.0231197233332096,17.740308929771643,-17.763428653104853
KOR,527.8224182708128,0.22438568549861265,10.88235119184817,-17.4778260889354,0.4762550725043155,-17.954081161439717
LTU,484.46340575011425,0.052295066124230585,10.75026945251955,-25.60127137651601,-10.56865118994196,-15.03262018657405
LVA,493.8427670445006,-0.009482523427919614,10.537911531386063,-14.59965907808786,-4.910569796980546,-9.689089281107314
MEX,409.88659826233635,-0.9524373255716473,9.970765631868323,-0.0435229356945967,4.4198467350611566,-4.463369670755753
NLD,488.3168361619046,0.2534607822800931,11.174988660714414,-5.373455838952708,0.0564548747419451,-5.429910713694653
NOR,478.22646488318014,0.5214971144813197,11.462787504617456,-13.116388032352576,4.800957191124951,-17.917345223477525
NZL,504.1293047861225,0.21906359919765708,10.81663303396012,-16.661939301297195,0.2016800629618416,-16.863619364259037
POL,499.1643620798552,-0.10514068515163943,10.678330417997634,-12.62176276512865,1.7388900898654214,-14.360652854994072
PRT,484.37346412182103,-0.22635525994346117,10.623054174662954,-0.3813426263791228,8.166974633633643,-8.548317260012766
SVK,462.26948311910746,-0.3029966638479775,10.56227580722072,-23.35569809268806,-4.226813844621546,-19.128884248066512
SVN,499.9648824735086,0.22580826383510563,10.75915500275801,-19.51402822352344,4.934116622778248,-24.448144846301687
SWE,493.5493190819638,0.326591020590031,11.043633585968013,-19.933659215062505,1.2874056764828763,-21.22106489154538
TUR,475.93780209919714,-1.1854430482598908,10.419921752943475,7.411043838895168,16.90562956856988,-9.49458572967471
USA,499.414064063512,0.05616286857446633,11.195865978937524,-3.795473785497919,15.226274188624744,-19.021747974122665
