version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.4409459475164606,0.4793170515358656,0.03837110401940502
published,HISEI - HOMEPOS,0.39944065951504537,0.33884701205477447,-0.060593647460270905
published,PARED - HOMEPOS,0.3330905691361332,0.3217176453180557,-0.01137292381807753
published,HISEI - achievement,0.3357243064216082,0.329905324900777,-0.005818981520831212
published,PARED - achievement,0.23583392655233512,0.2979765607629468,0.0621426342106117
published,HOMEPOS - achievement,0.3886328756481336,0.22992109457031512,-0.15871178107781847
harmonized,HISEI - PARED,0.45137820604174256,0.4793170515358656,0.027938845494123066
harmonized,HISEI - HOMEPOS,0.36290980341321544,0.34813360143289784,-0.014776201980317594
harmonized,PARED - HOMEPOS,0.30908186361286705,0.3264352461061337,0.017353382493266678
harmonized,HISEI - achievement,0.3357243064216082,0.329905324900777,-0.005818981520831212
harmonized,PARED - achievement,0.23847901141261726,0.29797656076294693,0.059497549350329665
harmonized,HOMEPOS - achievement,0.2976325076723158,0.26897183753080595,-0.02866067014150986
