,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.339357834252585,-0.30695103904756044,-0.5385318828515493
published,-0.0646652677734465,-0.023998332351920507,-0.32034812474175944
harmonized,0.08159783902268863,0.11214543707356935,-0.11253151736522228
