index,label,n_systems,y2015,se2015,y2018,se2018,y2022,se2022,y2025,se2025
escs,"ESCS, published",34,86.90010671356124,0.8144747815238896,86.12510268815615,0.8407558927284469,96.60845499288511,0.9010473297062715,83.79904858164502,0.9169086293714558
escs_h4,"ESCS, harmonized (four cycles)",34,84.1504440071926,0.7905455808114188,81.90193321819419,0.8803036755682486,87.77463808511357,0.9420728279592635,89.10367305531877,0.9436597699007768
escs_mean4,"ESCS, harmonized (four cycles), no imputation",34,84.70607075548203,0.7933358426090049,82.12459510691471,0.8851052467528099,88.19327955932143,0.9564901660886642,90.46040725121591,0.9497759220508839
escs_pca4,"ESCS, harmonized (four cycles), principal component",34,84.14454619654006,0.7765977877586868,82.28305320719309,0.8494356444435079,88.49091325463533,0.932079558242145,91.33319691091336,0.9144748077254747
homepos,"HOMEPOS, published",34,72.54418612529703,0.8606394549791979,71.65700894401218,0.8155566465578976,93.64316620489453,0.8679123068529055,54.05295108318565,0.8863234004256789
homepos_h4,"HOMEPOS, harmonized (four cycles)",34,61.127289107473054,0.8338642865858604,59.71839349690394,0.9017044869241583,71.94982750327435,0.945432490100856,67.83799082038526,0.8006021973314865
hisei,HISEI,34,76.81666791196812,0.8077475238598747,74.54437889522296,0.8516853201351413,77.43820382634055,0.8899253246353311,76.36822479358341,0.8783248578984648
pared_c,PARED (common scale),34,51.1590792973552,0.786769428711365,48.78711017045488,0.7196394530760527,46.154179185746855,0.7476439425937348,59.9532316634675,0.7399396983103776
books,Books at home (six categories),34,95.9891358886209,0.7859346981856823,91.91109009553661,0.8055075507213942,98.34634286918894,0.9150310947117524,96.29253559481135,0.8892689149524471
