wave,group,pct_students,math,hisei,paredint,books7,n_booktypes,n_national_yes,n_national_adm
2022,In Q4 under both,19.689295104070087,508.00246355746384,64.23529494415175,15.075842381529366,4.878944492953083,6.89938967440755,,0.0
2022,"Published Q4, not harmonized Q4",5.30374861624297,520.5848035214437,60.82571130861887,14.764354782132214,5.03576179495344,7.17310490035943,,0.0
2022,"Harmonized Q4, not published Q4",5.303536955687155,469.78497592683914,56.43151662365063,14.46182676601628,3.702198235018284,4.736127050545522,,0.0
2022,In Q1 under both,19.561076543579357,418.47543729786565,38.21809873865133,12.284856047532655,2.5765380720558566,3.716810028631545,,0.0
2022,"Published Q1, not harmonized Q1",5.446899200525838,428.62153338910935,44.38113913365074,13.113227270561596,2.7611381873646956,2.866886876469742,,0.0
2022,"Harmonized Q1, not published Q1",5.450143043650094,463.20848045409497,45.97151060552267,13.333486760431791,3.6639348410208794,6.307362142361281,,0.0
2025,In Q4 under both,21.449742249087134,488.37514303790516,63.43697563077891,14.769153967768094,4.610209687914658,,4.320530152024545,5.641459556909754
2025,"Published Q4, not harmonized Q4",3.544035700692861,464.8992223108786,57.163066395625094,14.205270340218867,4.049270601628529,,4.526313810235891,5.56902046000453
2025,"Harmonized Q4, not published Q4",3.5370595382286276,502.1672318805668,58.77150533720748,14.359401369104864,4.512488401811832,,2.920586757098567,5.603295040940931
2025,In Q1 under both,21.53477699278446,421.1658389499877,40.38637534191945,12.061901525803783,2.797923245653492,,2.6005672609978254,5.6112411045505235
2025,"Published Q1, not harmonized Q1",3.49388354674422,458.8598270457345,46.12816102248497,12.92410791658586,3.5358885828857107,,2.0732685922173393,5.594325871341074
2025,"Harmonized Q1, not published Q1",3.4735670628016497,431.14924283179863,44.83593768379758,12.87281036521451,3.0828189367900203,,3.848882039005705,5.579471018583056
