wave,r2_common_items,res_r_score,res_r_booktypes,res_r_national_yes,res_r_hisei
2022,0.914240397540073,0.13674002964648974,0.5863490479948181,,0.09385419450350055
2025,0.9550819145132136,-0.0704706997297807,,0.6409889778722387,0.05897500627820691
