index,decile,n_systems,mean_2022,mean_2025,change,se
escs,1,36,417.6083930064052,416.7008480143744,-0.9075449920308074,1.6447909184124128
escs,2,36,442.5794781066396,436.72033757948185,-5.859140527157763,1.73370407256343
escs,3,36,451.00837947826585,445.7616835543396,-5.246695923926268,1.7413221903452427
escs,4,36,461.9918346463575,453.8208801588224,-8.170954487535141,1.731818801736727
escs,5,36,473.0324814444657,465.043094917932,-7.9893865265336785,1.769890524844167
escs,6,36,482.5399915349202,475.8308106163854,-6.709180918534798,1.6385943154676101
escs,7,36,494.84742269806856,486.4039063408128,-8.44351635725576,1.722969919748831
escs,8,36,508.53212396997515,498.9025498978755,-9.629574072099672,1.7599575965176693
escs,9,36,525.1907415102853,508.3840793986613,-16.806662111624007,1.8162109285717525
escs,10,36,536.527385273197,506.2182935989007,-30.30909167429627,1.8618994774047448
escs,D10-D1,36,118.91899226679175,89.51744558452636,-29.40154668226539,1.9379281336195233
escs_h,1,36,422.6650831132204,414.6029673644092,-8.062115748811209,1.7015786386550027
escs_h,2,36,446.1860267030367,435.4863639059657,-10.699662797071028,1.6167502981911466
escs_h,3,36,453.80539191078833,444.95006909186793,-8.8553228189204,1.6419510780747688
escs_h,4,36,463.8807834014011,454.1907557681642,-9.690027633236923,1.8273378798329911
escs_h,5,36,473.6289646658385,464.51445624288283,-9.11450842295568,1.7125132533887055
escs_h,6,36,484.3999782654387,475.50007309668433,-8.899905168754344,1.704880056721874
escs_h,7,36,496.22514384482986,486.126416031593,-10.098727813236849,1.8619872632883632
escs_h,8,36,509.07060573692934,500.36826621601193,-8.702339520917405,1.6891401791105747
escs_h,9,36,521.790519328346,509.59519427341803,-12.195325054927991,1.7546293269636566
escs_h,10,36,524.9773192298002,511.3811725582652,-13.596146671534996,1.856251684028499
escs_h,D10-D1,36,102.31223611657988,96.77820519385587,-5.534030922724014,1.9328572520327518
escs_pca,1,36,427.16998237606197,420.14344881631115,-7.026533559750817,1.6023811600333735
escs_pca,2,36,446.0404757416007,435.1492490662823,-10.891226675318364,1.574040987935472
escs_pca,3,36,451.70895918596716,442.79564589514996,-8.9133132908172,1.7649240688982861
escs_pca,4,36,462.63814861522724,451.96790495476915,-10.670243660458084,1.8557274034044668
escs_pca,5,36,471.68331294843176,461.71129433330935,-9.972018615122408,1.8271935194350977
escs_pca,6,36,482.13336106262966,471.7246979142068,-10.408663148422875,1.7354221689988925
escs_pca,7,36,494.4385435512336,483.6041766097572,-10.83436694147639,1.8198439504479222
escs_pca,8,36,508.8020409385391,499.304979037426,-9.497061901113113,1.7591970310666465
escs_pca,9,36,522.8330036960674,512.2807604146677,-10.552243281399683,1.7843668190313962
escs_pca,10,36,529.1824417049029,518.0335632798536,-11.148878425049247,1.8230100551532538
escs_pca,D10-D1,36,102.01245932884099,97.89011446354255,-4.1223448652984445,1.8848936191852883
homepos,1,36,405.1583428673929,414.41736784497937,9.259024977586478,1.690238665257829
homepos,2,36,438.2042325310754,443.2032407277834,4.999008196708019,1.698898546440507
homepos,3,36,455.29790189875473,454.32279960276685,-0.975102295987881,1.8095214720253605
homepos,4,36,468.7874090406435,464.6621700542147,-4.125238986428826,1.8387772381813028
homepos,5,36,479.1240346888659,469.47974499098956,-9.644289697876332,1.8102989957707547
homepos,6,36,489.3575585587558,475.7139779150666,-13.643580643689177,1.7535860242144798
homepos,7,36,500.4298426231593,479.701533640252,-20.728308982907265,1.7402705042522246
homepos,8,36,508.9544371721947,482.57063423921073,-26.38380293298394,1.7875904989800053
homepos,9,36,517.6149510234758,485.750364456216,-31.864586567259778,1.7466129431272992
homepos,10,36,519.7612792957301,476.8051262694589,-42.95615302627118,1.7966193852366577
homepos,D10-D1,36,114.60293642833717,62.38775842447948,-52.215178003857694,1.7693686944878533
homepos_h,1,36,417.6806899467227,407.42373357360134,-10.25695637312134,1.7416724435158901
homepos_h,2,36,449.1727746380202,440.2485731877552,-8.924201450265002,1.6290126379595211
homepos_h,3,36,464.6228761373406,453.54626540326916,-11.076610734071437,1.868209878186081
homepos_h,4,36,474.79059005767914,461.21871802491967,-13.571872032759472,1.7527681932663128
homepos_h,5,36,483.666514383788,470.2299349812409,-13.436579402547125,1.747859239295854
homepos_h,6,36,490.14948867880685,475.8768125928057,-14.272676086001127,1.8263173376904622
homepos_h,7,36,496.90935458804813,481.6632037169035,-15.246150871144607,1.7302551633762622
homepos_h,8,36,501.73156779211115,487.18116064536434,-14.550407146746807,1.674285094978729
homepos_h,9,36,505.7945967331008,490.54580350811403,-15.248793224986741,1.6975472233758797
homepos_h,10,36,503.6489637304386,484.8128822711766,-18.836081459262005,1.8245447660945884
homepos_h,D10-D1,36,85.96827378371597,77.38914869757525,-8.57912508614072,1.7838802433051977
