version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.4409459475164606,0.4793170515358656,0.03837110401940502
published,HISEI - HOMEPOS,0.39944065951504537,0.33884701205477447,-0.060593647460270905
published,PARED - HOMEPOS,0.3330905691361332,0.3217176453180557,-0.01137292381807753
published,HISEI - achievement,0.32400657133921673,0.3232725003778563,-0.0007340709613604113
published,PARED - achievement,0.2292418323419696,0.29055950712146317,0.06131767477949357
published,HOMEPOS - achievement,0.3786725674702654,0.21203227670730515,-0.16664029076296025
harmonized,HISEI - PARED,0.45137820604174256,0.4793170515358656,0.027938845494123066
harmonized,HISEI - HOMEPOS,0.36290980341321544,0.34813360143289784,-0.014776201980317594
harmonized,PARED - HOMEPOS,0.30908186361286705,0.3264352461061337,0.017353382493266678
harmonized,HISEI - achievement,0.32400657133921673,0.3232725003778563,-0.0007340709613604113
harmonized,PARED - achievement,0.23122302702122843,0.29055950712146317,0.059336480100234734
harmonized,HOMEPOS - achievement,0.28307104445596004,0.2558790412537093,-0.027192003202250736
