cnt,wave,index,quartile,n,estimate,se,ci_low,ci_high
COL,2022,homepos_h4,Q3,1977,394.706738508799,4.360586431063155,386.1599891039152,403.25348791368276
COL,2022,homepos_h4,Q4,2115,429.2925566900306,5.2233001597633875,419.0548883768944,439.53022500316683
MEX,2022,escs,Q1,1512,369.1964651437033,2.4169888643176525,364.4591669696407,373.93376331776585
MEX,2022,escs,Q2,1587,385.84056690470385,2.5140659335587134,380.91299767492876,390.76813613447894
MEX,2022,escs,Q3,1559,397.7417315451392,3.866073332475498,390.16422781348723,405.3192352767912
MEX,2022,escs,Q4,1612,427.6472404806056,4.164314079640668,419.4851848845099,435.8092960767013
MEX,2022,escs_h4,Q1,1497,369.8588329715738,2.4196311580483436,365.11635590179907,374.60131004134854
MEX,2022,escs_h4,Q2,1601,387.14281444200464,2.4609580953562453,382.3193365751064,391.9662923089029
MEX,2022,escs_h4,Q3,1563,397.60155068043446,3.5845444116931025,390.575843633516,404.6272577273529
MEX,2022,escs_h4,Q4,1601,426.38117852022395,4.1457362006974545,418.25553556685696,434.50682147359095
MEX,2022,homepos,Q1,1551,362.52430085757976,2.638233672034396,357.35336286039234,367.6952388547672
MEX,2022,homepos,Q2,1575,387.76300875217964,2.9440141000124944,381.9927411161552,393.5332763882041
MEX,2022,homepos,Q3,1553,402.6170938764157,2.5691557935452285,397.5815485210671,407.65263923176434
MEX,2022,homepos,Q4,1591,427.6414080368178,4.53769237987304,418.74753097226665,436.5352851013689
MEX,2022,homepos_h4,Q1,1532,369.2807719543906,2.8409290454028016,363.7125510254011,374.8489928833801
MEX,2022,homepos_h4,Q2,1572,383.2563852706129,2.9824080063732814,377.4108655781213,389.1019049631045
MEX,2022,homepos_h4,Q3,1547,407.249192321145,2.9604837405586006,401.44664418965016,413.0517404526399
MEX,2022,homepos_h4,Q4,1570,424.0739427340988,4.106463386390126,416.02527449677416,432.12261097142346
PER,2022,escs,Q1,1677,350.70324501936733,2.4198618965297696,345.960315702169,355.44617433656566
PER,2022,escs,Q2,1716,378.63468386522163,2.996919120486133,372.7607223890688,384.50864534137446
PER,2022,escs,Q3,1736,400.2165732922587,3.735228575013862,392.89552528523154,407.5376212992859
PER,2022,escs,Q4,1794,436.69382801242864,3.829987439409446,429.18705263118613,444.20060339367114
PER,2022,escs_h4,Q1,1675,352.6681986885553,2.2511843015010466,348.2558774576133,357.08051991949736
PER,2022,escs_h4,Q2,1714,380.0288700394464,3.4925026706343036,373.1835648050032,386.87417527388965
PER,2022,escs_h4,Q3,1734,398.91601245776786,3.821521123261506,391.4258310561753,406.4061938593604
PER,2022,escs_h4,Q4,1792,435.1060730667061,3.4338702822830793,428.37568731343123,441.8364588199809
PER,2022,homepos,Q1,1682,353.6244612467249,2.362707395118806,348.993554752292,358.2553677411577
PER,2022,homepos,Q2,1677,374.0999452847544,3.3769368341551105,367.4811490898104,380.71874147969845
PER,2022,homepos,Q3,1756,405.01437625782,4.098817354137164,396.9806942437112,413.0480582719288
PER,2022,homepos,Q4,1812,433.2526284322615,3.6006332391041997,426.19538728361726,440.3098695809057
PER,2022,homepos_h4,Q1,1656,360.80498662129867,2.317091355472155,356.26348756457327,365.34648567802407
PER,2022,homepos_h4,Q2,1662,369.6262809912609,3.3448188267149344,363.07043609089965,376.18212589162215
PER,2022,homepos_h4,Q3,1726,410.1228260259774,3.891767029839117,402.49496264749274,417.7506894044621
PER,2022,homepos_h4,Q4,1787,431.2298488790013,3.3488939548155576,424.6660167275628,437.79368103043976
URY,2022,escs,Q1,1608,371.2191068071087,3.0743843842217227,365.1933134140341,377.2449002001833
URY,2022,escs,Q2,1629,393.80990438618784,2.45131325564279,389.00533040512795,398.6144783672477
URY,2022,escs,Q3,1598,411.52990541377073,3.215768225529201,405.2269996917335,417.83281113580796
URY,2022,escs,Q4,1673,461.843520652788,3.575894764980432,454.8347669134264,468.85227439214964
URY,2022,escs_h4,Q1,1609,373.6029127169214,2.7327345372394527,368.2467530239321,378.95907240991073
URY,2022,escs_h4,Q2,1617,392.853069495098,2.5645938546109255,387.8264655400606,397.8796734501354
URY,2022,escs_h4,Q3,1591,413.3824647403182,3.3943450055112203,406.7295485295162,420.0353809511202
URY,2022,escs_h4,Q4,1663,460.8196130133366,3.298874969672445,454.3538180727786,467.2854079538946
URY,2022,homepos,Q1,1597,362.1229857946552,3.1836143062804014,355.88310175434566,368.3628698349648
URY,2022,homepos,Q2,1631,397.63252364718227,2.5870430334175887,392.5619193016838,402.7031279926807
URY,2022,homepos,Q3,1641,419.40397603248914,2.930495256919156,413.6602053289276,425.1477467360507
URY,2022,homepos,Q4,1692,456.4832584548323,3.3714608388403473,449.8751952107052,463.0913216989594
URY,2022,homepos_h4,Q1,1562,367.52600154170665,3.221985797074343,361.2109093794409,373.8410937039724
URY,2022,homepos_h4,Q2,1599,403.8187817709716,2.6066541399837835,398.7097396566034,408.9278238853398
URY,2022,homepos_h4,Q3,1633,423.5401746614657,2.996498495502239,417.6670376102813,429.4133117126501
URY,2022,homepos_h4,Q4,1653,449.0039414630734,3.62877412000597,441.89154418786165,456.1163387382851
ARG,2025,escs,Q1,2098,342.32284633804386,3.03753114404319,336.3692852957192,348.27640738036854
ARG,2025,escs,Q2,2310,354.23701215302816,3.275236204771795,347.8175491916754,360.6564751143809
ARG,2025,escs,Q3,2433,372.074340791864,4.045850150885494,364.14447449612845,380.0042070875996
ARG,2025,escs,Q4,2967,421.49999407606094,5.841166422311667,410.0513078883301,432.9486802637918
ARG,2025,escs_h4,Q1,2108,344.48743565979794,2.9519856324865574,338.7015438201243,350.2733274994716
ARG,2025,escs_h4,Q2,2294,354.4040317027616,3.0116624669261856,348.50117326758624,360.30689013793693
ARG,2025,escs_h4,Q3,2405,373.9743635415871,3.669738432052268,366.7816762147646,381.16705086840955
ARG,2025,escs_h4,Q4,2927,422.2448976469717,5.472861508295895,411.5180890907118,432.97170620323163
ARG,2025,homepos,Q1,2126,337.8517730990177,3.03795433424074,331.89738260390584,343.80616359412954
ARG,2025,homepos,Q2,2523,355.88316870702533,3.3330713405570336,349.35034887953356,362.4159885345171
ARG,2025,homepos,Q3,2847,377.09964295241855,3.500622084592702,370.2384236666168,383.9608622382203
ARG,2025,homepos,Q4,2913,405.02563888189553,5.299104217195271,394.6393946161928,415.41188314759825
ARG,2025,homepos_h4,Q1,2107,338.8003539519156,2.9241253275835613,333.06906830985184,344.5316395939794
ARG,2025,homepos_h4,Q2,2432,354.82625019163305,3.892178163452313,347.19758099126653,362.45491939199957
ARG,2025,homepos_h4,Q3,2823,381.6865931633923,3.858567317638851,374.1238012208201,389.24938510596445
ARG,2025,homepos_h4,Q4,2853,410.5306781994699,4.971234498307748,400.7870585827867,420.2742978161531
BRA,2025,escs,Q1,7211,341.57667593558637,1.6163952671764155,338.4085412119206,344.74481065925215
BRA,2025,escs,Q2,6862,367.19414714120273,1.6551690056438633,363.9500158901408,370.4382783922647
BRA,2025,escs,Q3,6858,387.8101194453932,2.437462400310336,383.03269314078494,392.5875457500014
BRA,2025,escs,Q4,6511,431.99680582398094,3.810964799465062,424.52731481702943,439.46629683093244
BRA,2025,escs_h4,Q1,7124,342.18669100934795,1.5239308280768815,339.19978658631726,345.17359543237865
BRA,2025,escs_h4,Q2,6799,368.5599947292252,1.8167614904631018,364.99914220791754,372.12084725053285
BRA,2025,escs_h4,Q3,6758,388.31736546546483,2.406293531276654,383.60103014416256,393.0337007867671
BRA,2025,escs_h4,Q4,6552,432.2769745694315,3.6390391700754106,425.1444577960837,439.4094913427793
BRA,2025,homepos,Q1,8213,343.4995455111046,1.6112872964912224,340.3414224099818,346.6576686122274
BRA,2025,homepos,Q2,7556,359.86946190445985,1.9320340484762142,356.0826751694465,363.65624863947323
BRA,2025,homepos,Q3,7001,386.3058156126557,2.615703554795086,381.1790366452573,391.43259458005406
BRA,2025,homepos,Q4,6562,422.86284073982534,3.3998448409145925,416.19914485163275,429.52653662801794
BRA,2025,homepos_h4,Q1,7922,343.4525238795182,1.6810436894524423,340.1576782481914,346.747369510845
BRA,2025,homepos_h4,Q2,7325,356.13995478291514,1.8755494718577241,352.463877818074,359.81603174775626
BRA,2025,homepos_h4,Q3,6968,390.45443177213406,2.8463324869696045,384.8756200976736,396.0332434465945
BRA,2025,homepos_h4,Q4,6520,429.0688209872054,3.277390539570356,422.6451355296475,435.4925064447633
CHL,2025,escs,Q1,1250,377.5920471563294,3.334809668948005,371.0558202051913,384.12827410746746
CHL,2025,escs,Q2,1346,392.04530464802474,3.098657795901482,385.9719353680578,398.11867392799167
CHL,2025,escs,Q3,1466,408.3447237308966,3.2879880484190838,401.9002671559952,414.78918030579797
CHL,2025,escs,Q4,1915,447.28867092451276,3.386007518513173,440.65209618822695,453.92524566079857
CHL,2025,escs_h4,Q1,1254,376.992377641508,3.2946377698025007,370.5348876126951,383.44986767032094
CHL,2025,escs_h4,Q2,1347,392.02918112180606,2.976894157580493,386.19446857294827,397.86389367066386
CHL,2025,escs_h4,Q3,1464,409.5957108597047,2.880034920199716,403.95084241611323,415.24057930329616
CHL,2025,escs_h4,Q4,1901,447.77573729255494,3.2310045722350957,441.44296833097417,454.1085062541357
CHL,2025,homepos,Q1,1328,380.638444230853,2.8862414526627362,374.981410983634,386.295477478072
CHL,2025,homepos,Q2,1398,396.49255140035416,3.000056518283123,390.61244062451925,402.37266217618907
CHL,2025,homepos,Q3,1528,407.5954674959838,3.382717033286036,400.9653421107432,414.22559288122443
CHL,2025,homepos,Q4,1913,431.88276126951797,3.1599229262445183,425.6893123340787,438.07621020495725
CHL,2025,homepos_h4,Q1,1346,379.72224309870353,3.0595173946322647,373.72558900522426,385.7188971921828
CHL,2025,homepos_h4,Q2,1375,394.9026374899935,3.171355900252177,388.6867799254992,401.11849505448777
CHL,2025,homepos_h4,Q3,1537,409.77098149493077,3.431153979551449,403.0459196950099,416.49604329485163
CHL,2025,homepos_h4,Q4,1865,435.0797701253431,2.8212570177949603,429.55010637046496,440.6094338802212
COL,2025,escs,Q1,1609,350.4688905562199,2.2709660723404985,346.0177970544325,354.9199840580073
COL,2025,escs,Q2,1698,373.1685363601852,2.6600962230464593,367.95474776301415,378.3823249573563
COL,2025,escs,Q3,1717,388.05745567716866,4.18204097912183,379.8606553580899,396.2542559962474
COL,2025,escs,Q4,1805,428.55562757004145,6.2330538426005955,416.33884203854427,440.77241310153863
COL,2025,escs_h4,Q1,1589,351.03169956081126,2.2113502185721075,346.6974531324099,355.3659459892126
COL,2025,escs_h4,Q2,1706,373.39875926226546,2.630837764101084,368.2423172446273,378.5552012799036
COL,2025,escs_h4,Q3,1705,388.5118258441722,3.8822937591307665,380.9025300762759,396.1211216120685
COL,2025,escs_h4,Q4,1805,428.43130072619704,6.530310968549952,415.6318912278391,441.23071022455497
COL,2025,homepos,Q1,1658,348.11236911872385,2.636810998486692,342.9442195616899,353.2805186757578
COL,2025,homepos,Q2,1717,368.14295221569745,2.722200979059977,362.8074382967399,373.478466134655
COL,2025,homepos,Q3,1810,390.7331957846096,4.335858585430291,382.2349129571663,399.23147861205297
COL,2025,homepos,Q4,1893,422.81803331041317,5.032912657692373,412.9535245013361,432.6825421194902
COL,2025,homepos_h4,Q1,1640,352.6735312910454,2.4173342176299037,347.93555622449077,357.4115063576
COL,2025,homepos_h4,Q2,1699,362.5284939402854,3.092427589535328,356.46733586479615,368.5896520157746
COL,2025,homepos_h4,Q3,1762,392.75655169641044,4.9359103906460735,383.08216733074414,402.43093606207674
COL,2025,homepos_h4,Q4,1902,425.75687522530234,4.266171278322918,417.3951795197894,434.1185709308153
MEX,2025,escs,Q1,1827,362.65924264442464,2.2550906371235944,358.2392649956624,367.0792202931869
MEX,2025,escs,Q2,1939,381.73170253905545,2.0112933243352127,377.78956762335844,385.67383745475246
MEX,2025,escs,Q3,1940,392.3017928341875,2.944170469433404,386.53121871409803,398.07236695427696
MEX,2025,escs,Q4,1963,419.82681578657264,3.667216869921827,412.63907072152585,427.0145608516194
MEX,2025,escs_h4,Q1,1825,362.50345395642427,2.1373412710885282,358.31426506509075,366.6926428477578
MEX,2025,escs_h4,Q2,1937,381.3329417639425,2.012351562147699,377.388732702133,385.27715082575196
MEX,2025,escs_h4,Q3,1936,392.9334369560911,2.8212032164360306,387.4038786518765,398.4629952603057
MEX,2025,escs_h4,Q4,1961,420.456256979007,3.787907601010127,413.03195808102714,427.8805558769868
MEX,2025,homepos,Q1,1875,364.69867732152625,2.3160543746781777,360.15921074715703,369.23814389589546
MEX,2025,homepos,Q2,1944,381.311939081608,2.323178767262566,376.7585086977734,385.8653694654426
MEX,2025,homepos,Q3,1989,395.57203481591444,2.865899517432088,389.95487176174754,401.18919787008133
MEX,2025,homepos,Q4,2010,409.8835785529592,3.207220205814474,403.5974269495628,416.16973015635557
MEX,2025,homepos_h4,Q1,1841,361.1891852835224,2.058700732693231,357.1541318474437,365.22423871960115
MEX,2025,homepos_h4,Q2,1962,380.68203055176156,2.6547011214990754,375.47881635362336,385.88524474989975
MEX,2025,homepos_h4,Q3,1989,399.0091754394446,2.4847818143478713,394.1390030833228,403.87934779556645
MEX,2025,homepos_h4,Q4,2004,412.51669530089146,3.5003287849860345,405.6560508823188,419.3773397194641
PER,2025,escs,Q1,1592,350.42002612919975,2.597258986772574,345.3293985151255,355.510653743274
PER,2025,escs,Q2,1688,372.39780324849994,3.6634665378284463,365.2174088343562,379.5781976626437
PER,2025,escs,Q3,1656,392.37846779751794,3.1950984415530774,386.1160748520739,398.640860742962
PER,2025,escs,Q4,1714,424.89792190456757,4.82959755823109,415.4319106904346,434.3639331187005
PER,2025,escs_h4,Q1,1588,349.80746400144676,2.6172321457628596,344.67768899575157,354.93723900714195
PER,2025,escs_h4,Q2,1677,373.49491583527436,3.506985571295102,366.62122411553594,380.3686075550128
PER,2025,escs_h4,Q3,1654,391.48558431631403,3.261436336234696,385.09316909729404,397.877999535334
PER,2025,escs_h4,Q4,1712,426.9317086736337,4.507889574534261,418.09624510754657,435.7671722397208
PER,2025,homepos,Q1,1670,350.8882151841791,2.9673217910756753,345.07226447367077,356.70416589468743
PER,2025,homepos,Q2,1716,370.9995860641637,3.428468851081254,364.2797871160444,377.71938501228294
PER,2025,homepos,Q3,1750,394.3693245967284,3.3542301844984745,387.7950334351114,400.9436157583454
PER,2025,homepos,Q4,1775,415.4734193308324,4.169070191360083,407.30204175576665,423.6447969058982
PER,2025,homepos_h4,Q1,1661,352.1739948372892,2.746477431402228,346.7908990717408,357.55709060283755
PER,2025,homepos_h4,Q2,1699,364.07210848177033,2.9366473264373836,358.31627972195304,369.8279372415876
PER,2025,homepos_h4,Q3,1719,398.44945279010415,4.099918911730799,390.4136117231118,406.4852938570965
PER,2025,homepos_h4,Q4,1773,420.9356998277943,3.831954563340452,413.425068883647,428.4463307719416
URY,2025,escs,Q1,1571,368.9377982348966,2.836533064602858,363.378193428275,374.4974030415182
URY,2025,escs,Q2,1572,390.39844150786683,2.966868609786304,384.5833790326857,396.213503983048
URY,2025,escs,Q3,1544,411.9536827057697,3.015325209901363,406.04364529436305,417.8637201171764
URY,2025,escs,Q4,1548,462.36023535745136,3.5665171404124676,455.3698617622429,469.3506089526598
URY,2025,escs_h4,Q1,1564,368.65533361162795,2.7085241527613735,363.34662627221564,373.96404095104026
URY,2025,escs_h4,Q2,1573,390.03682727601256,3.253401426456624,383.6601604801576,396.41349407186755
URY,2025,escs_h4,Q3,1518,413.2751464169475,2.9549710649088716,407.4834031297261,419.0668897041689
URY,2025,escs_h4,Q4,1549,463.7754458268193,3.4650935923543416,456.9838623858048,470.5670292678338
URY,2025,homepos,Q1,1637,376.4059278050432,2.967825547857541,370.5889897312424,382.22286587884395
URY,2025,homepos,Q2,1614,394.1926342276094,2.786325962175595,388.7314353417452,399.6538331134736
URY,2025,homepos,Q3,1605,412.57993766869686,3.130369064888462,406.44441430151545,418.71546103587826
URY,2025,homepos,Q4,1609,440.4028492658641,3.56777443019844,433.4100113826752,447.39568714905306
URY,2025,homepos_h4,Q1,1617,378.38797094532435,2.8055590232614493,372.8890752597319,383.8868666309168
URY,2025,homepos_h4,Q2,1597,392.2174571114923,2.6953322288276964,386.93460594299,397.5003082799946
URY,2025,homepos_h4,Q3,1582,414.8144348842031,3.7742898360854595,407.4168268054756,422.2120429629306
URY,2025,homepos_h4,Q4,1578,442.9793362743065,2.955641001720851,437.18627991093365,448.77239263767933
