item,label,pct_yes,n_systems,r_score
ST250Q08DA,Electric lighting,99.40013857552368,1,0.08490464377760705
ST250Q13DA,Table for meals,96.00640378371634,1,0.055963783638169035
ST250Q12DA,Stove/burner,94.94852476549039,2,0.17422369090374418
ST250Q09DA,Plumbed water,94.359784914887,2,0.1284752329728414
ST250Q18DA,Air conditioning/heating,89.6189409738803,11,0.1297156609831774
ST250Q15DA,Refrigerator,88.57251743436758,4,0.0870675027261557
ST250Q23DA,Smart TV,86.49287114228176,8,-0.027697546719613046
ST250Q20DA,Quiet place to study,86.33124952228931,21,0.0854976013762113
ST250Q26DA,TV/streaming subscription,85.74565167353427,25,0.04890716234577473
ST250Q16DA,Sewer connection,84.84270175755401,2,0.25393227797057744
ST250Q10DA,Off-street parking,79.23097272653433,4,0.1401665621825772
ST250Q24DA,Dishwasher,75.4528388128768,15,0.08697291356681489
ST250Q25DA,Own tablet,50.06817328646592,14,-0.07057610691435935
ST250Q22DA,Security system,46.49541851926386,26,-0.05023820251799078
ST250Q19DA,Guest room,36.45420005993256,22,-0.05713446641315916
ST250Q28DA,Newspaper subscription,30.808056156985607,8,0.06691595469821478
ST250Q21DA,Swimming pool/jacuzzi,26.931686391291976,18,-0.08806972023259257
ST250Q27DA,Domestic workers,18.99111428697884,22,-0.09991240315056227
ST250Q11DA,Garbage collection,,0,
ST250Q14DA,Vacuum cleaner,,0,
