,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.39510873280068065,-0.37270518006756415,-0.5792108178951447
published,-0.28393616560768153,-0.17957822810308116,-0.5464479792399347
harmonised,-0.11895818589266151,-0.0035721096732467803,-0.334669565296314
