,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.3099339777111566,-0.26118605221046565,-0.5087513917643034
published,-0.0646652677734465,-0.023998332351920507,-0.32034812474175944
harmonised,0.06913987905601018,0.09223285877746253,-0.1250931753734016
