rule,cnt,gap_2022,gap_2025,change,se
Education: tertiary vs 12 years or fewer,ITA,31.60971103722654,40.87291767960191,9.263206642375373,5.429859447635199
Education: tertiary vs 12 years or fewer,JPN,46.472808928671995,60.63670242050789,14.163893491835893,7.205755074985274
Education: tertiary vs 12 years or fewer,KOR,38.0078042630324,56.045886492316164,18.038082229283766,6.337313233170516
Education: tertiary vs 12 years or fewer,LTU,42.95603726983502,40.16502584594801,-2.7910114238870136,4.672565883362366
Education: tertiary vs 12 years or fewer,LVA,38.20866133431874,40.32495756425679,2.116296229938051,5.075733162779393
Education: tertiary vs 12 years or fewer,MEX,37.94045811776557,40.28415944210214,2.343701324336564,5.294357319068672
Education: tertiary vs 12 years or fewer,NLD,34.34656371365933,65.98096917753637,31.634405463877037,6.635568071307541
Education: tertiary vs 12 years or fewer,NOR,51.409476379365614,60.44509764429896,9.035621264933347,6.241788487200138
Education: tertiary vs 12 years or fewer,NZL,50.46064805095599,50.2563274623797,-0.20432058857628732,5.633746098731014
Education: tertiary vs 12 years or fewer,POL,52.00239014948469,57.645671741723596,5.643281592238907,4.960705755624865
Education: tertiary vs 12 years or fewer,PRT,40.408508196686974,54.99685714294478,14.58834894625781,4.577153213632517
Education: tertiary vs 12 years or fewer,SVK,45.263958246597284,63.155646061769424,17.89168781517214,6.4184566553886295
Education: tertiary vs 12 years or fewer,SVN,41.07642578795752,53.45986052466863,12.38343473671111,4.174787287973372
Education: tertiary vs 12 years or fewer,SWE,50.204754434161465,67.94729782178267,17.742543387621204,5.517024045522724
Education: tertiary vs 12 years or fewer,TUR,33.126666829937214,63.3741546672065,30.247487837269283,5.325335454270804
Education: tertiary vs 12 years or fewer,USA,45.784066351874756,51.39638259735858,5.612316245483825,11.893925977335408
Books: more than 100 vs 25 or fewer,AUS,88.60815487342555,80.6827033705915,-7.925451502834051,4.225692620083571
Books: more than 100 vs 25 or fewer,AUT,112.61295647517086,104.74271991248786,-7.870236562683004,5.258236409730914
Books: more than 100 vs 25 or fewer,BEL,93.50352743267521,95.36404912558105,1.8605216929058344,5.959440753774327
Books: more than 100 vs 25 or fewer,CAN,70.28909460334789,66.46111492021949,-3.8279796831284045,4.12123632206767
Books: more than 100 vs 25 or fewer,CHE,103.67990080712192,102.57361762410626,-1.1062831830156625,5.642679328928986
Books: more than 100 vs 25 or fewer,CHL,70.53290258051452,64.29906440660858,-6.233838173905937,6.362668750283979
Books: more than 100 vs 25 or fewer,COL,66.205707469873,58.74484115167752,-7.460866318195485,10.535695804162028
Books: more than 100 vs 25 or fewer,CZE,106.46824848208875,97.75284769795013,-8.715400784138623,6.285709127093214
Books: more than 100 vs 25 or fewer,DEU,121.25123565378215,124.587090771003,3.3358551172208593,6.461628956286462
Books: more than 100 vs 25 or fewer,DNK,75.94449412573748,76.90673067025622,0.9622365445187455,5.5145155984082015
Books: more than 100 vs 25 or fewer,ESP,78.36484260366483,74.99325690798672,-3.3715856956781067,3.6308406070845316
Books: more than 100 vs 25 or fewer,EST,78.1648665632616,75.51189369003573,-2.6529728732258633,4.945561171915253
Books: more than 100 vs 25 or fewer,FIN,83.03222185334691,82.95263092660889,-0.07959092673802104,4.822419982761777
Books: more than 100 vs 25 or fewer,FRA,114.12221357706737,102.58995855120111,-11.532255025866263,5.967105008437732
Books: more than 100 vs 25 or fewer,GBR,96.42584568488766,91.83642468853202,-4.589420996355642,5.980687720827715
Books: more than 100 vs 25 or fewer,GRC,70.56778785892217,75.16206985549046,4.594281996568284,5.45591795538945
Books: more than 100 vs 25 or fewer,HUN,113.58733101559783,102.88652413870462,-10.70080687689321,6.171546309808625
Books: more than 100 vs 25 or fewer,IRL,84.80084767051662,84.49138181854737,-0.30946585196925014,4.962356098314594
Books: more than 100 vs 25 or fewer,ISL,81.41640892128858,84.30617824049659,2.889769319208014,6.384472937274528
Books: more than 100 vs 25 or fewer,ISR,88.47406544401947,85.84139157984919,-2.632673864170286,7.296684047216898
Books: more than 100 vs 25 or fewer,ITA,77.24828704919244,81.98138242074533,4.733095371552892,5.519817048214334
Books: more than 100 vs 25 or fewer,JPN,57.35251930929293,67.24549868203012,9.892979372737187,6.258512993328449
Books: more than 100 vs 25 or fewer,KOR,85.1617731744316,69.2612601174065,-15.900513057025108,9.114762445657131
Books: more than 100 vs 25 or fewer,LTU,80.64871501801781,68.23054786669546,-12.41816715132235,5.078673842477512
Books: more than 100 vs 25 or fewer,LVA,64.3485139911385,70.77583494502045,6.427320953881946,4.484204554588716
Books: more than 100 vs 25 or fewer,MEX,27.927270825064078,37.67334255947824,9.746071734414166,9.033984481767687
Books: more than 100 vs 25 or fewer,NLD,109.18984753034506,94.43269183990473,-14.757155690440328,8.084899055605387
Books: more than 100 vs 25 or fewer,NOR,88.26634955422469,78.49871573349614,-9.767633820728548,5.217228558106353
Books: more than 100 vs 25 or fewer,NZL,95.22190800410733,95.5234949978772,0.30158699376985965,5.912891620529584
Books: more than 100 vs 25 or fewer,POL,81.53230103939777,83.9859516448553,2.4536506054575398,6.068064743240731
Books: more than 100 vs 25 or fewer,PRT,87.47974624155165,78.72142121012662,-8.75832503142503,5.6458420880425235
