version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.4409459475164606,0.4793170515358656,0.03837110401940502
published,HISEI - HOMEPOS,0.39944065951504537,0.33884701205477447,-0.060593647460270905
published,PARED - HOMEPOS,0.3330905691361332,0.3217176453180557,-0.01137292381807753
published,HISEI - achievement,0.32400657133921673,0.3232725003778563,-0.0007340709613604113
published,PARED - achievement,0.2292418323419696,0.29055950712146317,0.06131767477949357
published,HOMEPOS - achievement,0.3786725674702654,0.21203227670730515,-0.16664029076296025
harmonised,HISEI - PARED,0.45137820604174256,0.4793170515358656,0.027938845494123066
harmonised,HISEI - HOMEPOS,0.36604415334795587,0.35221859471614886,-0.013825558631807011
harmonised,PARED - HOMEPOS,0.31095127686142365,0.32958754737570817,0.018636270514284514
harmonised,HISEI - achievement,0.32400657133921673,0.3232725003778563,-0.0007340709613604113
harmonised,PARED - achievement,0.23122302702122843,0.29055950712146317,0.059336480100234734
harmonised,HOMEPOS - achievement,0.2891478548922391,0.2667295033904782,-0.022418351501760914
