version,pair,r_2022,r_2025,change
published,HISEI - PARED,0.4409459475164606,0.4793170515358656,0.03837110401940502
published,HISEI - HOMEPOS,0.39944065951504537,0.33884701205477447,-0.060593647460270905
published,PARED - HOMEPOS,0.3330905691361332,0.3217176453180557,-0.01137292381807753
published,HISEI - achievement,0.3357243064216082,0.329905324900777,-0.005818981520831212
published,PARED - achievement,0.23583392655233512,0.2979765607629468,0.0621426342106117
published,HOMEPOS - achievement,0.3886328756481336,0.22992109457031512,-0.15871178107781847
harmonised,HISEI - PARED,0.45137820604174256,0.4793170515358656,0.027938845494123066
harmonised,HISEI - HOMEPOS,0.36604415334795587,0.35221859471614886,-0.013825558631807011
harmonised,PARED - HOMEPOS,0.31095127686142365,0.32958754737570817,0.018636270514284514
harmonised,HISEI - achievement,0.3357243064216082,0.329905324900777,-0.005818981520831212
harmonised,PARED - achievement,0.23847901141261726,0.29797656076294693,0.059497549350329665
harmonised,HOMEPOS - achievement,0.3039429225146563,0.27980057936836306,-0.024142343146293266
