wave,r2_common_items,res_r_score,res_r_booktypes,res_r_national_yes,res_r_hisei
2022,0.914240397540073,0.16157796320492238,0.5863490479948184,,0.09385419450350099
2025,0.9550819145132136,-0.05792137334978781,,0.6409889778722381,0.0589750062782063
