cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonised,mismatch
AUS,507.0008693485719,0.379366600098662,11.002585272014857,-22.17880011593849,-2.74340293624978,-19.43539717968871
AUT,491.27095872010716,0.06906735838519017,11.09276986530205,-25.972542781318168,-9.769205164142576,-16.203337617175592
BEL,490.5783460591944,0.08287633453443578,11.044567313933994,-21.94990471676537,-8.276863501728982,-13.673041215036388
CAN,515.0166759982307,0.3811020834349589,10.978202049920776,-14.000212244761066,-0.19770540559783,-13.802506839163236
CHE,502.52324153223213,0.16916674411868815,11.359334595789768,-20.79564078384513,-2.177040385020589,-18.61860039882454
CHL,443.5434024052521,-0.5086492927143373,10.294192644924529,-3.593930457184314,5.846868680698336,-9.44079913788265
COL,411.1206732476463,-1.0651248666066762,9.823292217794487,3.557342942768741,11.10451051137352,-7.547167568604779
CZE,497.74204696346357,-0.10408606887443415,10.787062133566062,-22.801906410016517,-6.300300131146017,-16.5016062788705
DEU,492.4267295061774,-0.1369900180181201,11.063162470656692,4.280299874970325,18.268604763565563,-13.988304888595238
DNK,493.815711696791,0.47607773941944276,11.143157599433199,-11.155079937082531,9.692502375960643,-20.847582313043176
ESP,484.53364843016817,-0.033199497264932515,10.752216124211673,-8.096787633923867,8.016315656650278,-16.113103290574145
EST,525.8117784943654,0.1507251881096396,10.671849334732508,-8.247442038187799,4.30308303735265,-12.550525075540449
FIN,510.95885052909244,0.2584828367937594,10.95200417407316,-11.377357889710154,7.296198580582143,-18.673556470292297
FRA,487.2252787111397,0.00018539079304115026,10.890680521722919,-21.290028583308256,-6.822388133961482,-14.467640449346774
GBR,499.67021378265724,0.13638065860924,10.896364587037436,-11.601614918813809,0.6061409642106526,-12.207755883024461
GRC,440.7860604735595,-0.154869593520961,10.486489892568931,-5.6603357398063565,6.644475998810776,-12.304811738617133
HUN,485.89015850001374,0.0029782271706394908,10.611793534130534,-22.657249735787587,-12.61908183165147,-10.038167904136117
IRL,503.8455371609126,0.3329791371384958,11.720000416950425,-5.574704005674718,3.646189355410797,-9.220893361085515
ISL,446.9671142285631,0.3781051237992792,11.106178197949012,-17.834492394701513,1.9012245948952824,-19.735716989596796
ISR,464.7518251675384,0.27995699607366575,10.78171007225928,-37.188173595903365,-12.337591220340457,-24.850582375562908
ITA,477.4633659372427,-0.10021047625315674,10.86538868280361,-8.337082006367211,3.502140783065784,-11.839222789432995
JPN,546.6344535500579,-0.006825021709761774,10.754052084685293,-0.0231197233332096,18.601656065582134,-18.624775788915343
KOR,527.8224182708128,0.22438568549861265,10.88235119184817,-17.4778260889354,-1.786740842127955,-15.691085246807447
LTU,484.46340575011425,0.052295066124230585,10.75026945251955,-25.60127137651601,-9.741988228865123,-15.859283147650887
LVA,493.8427670445006,-0.009482523427919614,10.537911531386063,-14.59965907808786,-5.548975202032722,-9.050683876055139
MEX,409.88659826233635,-0.9524373255716473,9.970765631868323,-0.0435229356945967,4.605615764360664,-4.649138700055261
NLD,488.3168361619046,0.2534607822800931,11.174988660714414,-5.373455838952708,2.8959496322708134,-8.269405471223521
NOR,478.22646488318014,0.5214971144813197,11.462787504617456,-13.116388032352576,2.4748980824830653,-15.591286114835642
NZL,504.1293047861225,0.21906359919765708,10.81663303396012,-16.661939301297195,0.782966031965671,-17.444905333262867
POL,499.1643620798552,-0.10514068515163943,10.678330417997634,-12.62176276512865,3.165320249758693,-15.787083014887344
PRT,484.37346412182103,-0.22635525994346117,10.623054174662954,-0.3813426263791228,8.112994422227516,-8.494337048606639
SVK,462.26948311910746,-0.3029966638479775,10.56227580722072,-23.35569809268806,-4.978714896565947,-18.37698319612211
SVN,499.9648824735086,0.22580826383510563,10.75915500275801,-19.51402822352344,5.619594984914215,-25.133623208437655
SWE,493.5493190819638,0.326591020590031,11.043633585968013,-19.933659215062505,-0.9627691566656296,-18.970890058396876
TUR,475.93780209919714,-1.1854430482598908,10.419921752943475,7.411043838895168,17.136925388220277,-9.72588154932511
USA,499.414064063512,0.05616286857446633,11.195865978937524,-3.795473785497919,13.720780649293957,-17.516254434791875
