rule,cnt,gap_2022,gap_2025,change,se
Occupation: HISEI >= 60 vs < 35,AUS,71.95979698669387,67.30136868081972,-4.658428305874153,4.248634322081718
Occupation: HISEI >= 60 vs < 35,AUT,77.65155226507189,61.062499094581156,-16.58905317049073,4.679498098768253
Occupation: HISEI >= 60 vs < 35,BEL,86.32420132099101,80.58334819597594,-5.7408531250150645,4.871258534348481
Occupation: HISEI >= 60 vs < 35,CAN,58.13167825666373,58.32477172219967,0.19309346553593798,3.914092861984088
Occupation: HISEI >= 60 vs < 35,CHE,83.31299965196877,83.8970056310034,0.5840059790346288,5.664077740056943
Occupation: HISEI >= 60 vs < 35,CHL,49.82428117556861,55.84825916379077,6.023977988222164,4.929527238647813
Occupation: HISEI >= 60 vs < 35,COL,54.83214550645797,52.72691229978498,-2.1052332066729917,7.6663562169067205
Occupation: HISEI >= 60 vs < 35,CZE,89.96565500992531,78.84644783538775,-11.119207174537564,5.573326201968447
Occupation: HISEI >= 60 vs < 35,DEU,81.98890683163154,86.6323715373054,4.643464705673864,5.637102503742777
Occupation: HISEI >= 60 vs < 35,DNK,57.58212161762658,46.395761517528946,-11.186360100097637,5.689136649307129
Occupation: HISEI >= 60 vs < 35,ESP,56.71088975786004,58.514362801926026,1.8034730440659885,2.9349127770361862
Occupation: HISEI >= 60 vs < 35,EST,58.6109072694152,69.37813896627632,10.767231696861124,5.275908853784331
Occupation: HISEI >= 60 vs < 35,FIN,61.237594561303084,58.38565741193645,-2.851937149366634,3.88816589490465
Occupation: HISEI >= 60 vs < 35,FRA,77.14410155785954,68.38044064546077,-8.763660912398777,5.481920149347245
Occupation: HISEI >= 60 vs < 35,GBR,56.191951183383615,66.85726058829962,10.665309404916009,5.9074547523524235
Occupation: HISEI >= 60 vs < 35,GRC,56.455814933336534,63.35636100833078,6.900546074994246,5.074174618718868
Occupation: HISEI >= 60 vs < 35,HUN,99.32662769595292,84.27415530009519,-15.052472395857734,7.032592948135261
Occupation: HISEI >= 60 vs < 35,IRL,50.882933224611456,55.762805631634045,4.879872407022589,4.029560782604663
Occupation: HISEI >= 60 vs < 35,ISL,44.739022881430614,44.541897708009486,-0.1971251734211279,6.005325568087198
Occupation: HISEI >= 60 vs < 35,ISR,90.96342057052648,84.99725596298882,-5.966164607537664,7.400515721801012
Occupation: HISEI >= 60 vs < 35,ITA,61.26079349107461,59.28528790166636,-1.9755055894082503,6.264292533300493
Occupation: HISEI >= 60 vs < 35,JPN,42.41818673334349,47.34061232467412,4.922425591330629,7.3445359210668855
Occupation: HISEI >= 60 vs < 35,KOR,52.4264832510727,66.47690157993134,14.050418328858633,7.215606916856454
Occupation: HISEI >= 60 vs < 35,LTU,60.96035339626936,59.311412627927965,-1.6489407683413972,5.742492669862331
Occupation: HISEI >= 60 vs < 35,LVA,57.57967702218299,48.460280143554314,-9.119396878628677,4.32437684362958
Occupation: HISEI >= 60 vs < 35,MEX,36.45431137855285,39.50814351905623,3.0538321405033813,4.429293496953365
Occupation: HISEI >= 60 vs < 35,NLD,83.37085650404609,81.33456980352517,-2.036286700520918,7.166166623085774
Occupation: HISEI >= 60 vs < 35,NOR,55.93779951128531,65.92539619504346,9.987596683758149,4.929259426062816
Occupation: HISEI >= 60 vs < 35,NZL,72.01280546633232,69.02130857166489,-2.991496894667435,6.363195675059316
Occupation: HISEI >= 60 vs < 35,POL,64.77783986473577,63.516943852762665,-1.2608960119731023,5.651985717601765
Occupation: HISEI >= 60 vs < 35,PRT,73.48130073453709,76.49794944577822,3.0166487112411318,5.5060013343649565
Occupation: HISEI >= 60 vs < 35,SVK,97.57540968045095,91.87542099268279,-5.699988687768155,7.33829654635471
Occupation: HISEI >= 60 vs < 35,SVN,71.36614457625744,62.124306624561974,-9.241837951695466,5.515755531312633
Occupation: HISEI >= 60 vs < 35,SWE,64.93799711354407,70.28557635999626,5.3475792464521845,5.018956346616738
Occupation: HISEI >= 60 vs < 35,TUR,67.11098038445903,71.19574573114411,4.084765346685089,5.297830506740046
Occupation: HISEI >= 60 vs < 35,USA,64.45392499473283,73.11048356173792,8.656558567005092,13.744754917647299
Education: tertiary vs 12 years or fewer,AUS,54.49450927779308,58.98689408026837,4.492384802475293,4.009381087602011
Education: tertiary vs 12 years or fewer,AUT,58.88880045997978,51.0447461761295,-7.8440542838502765,5.096020456350176
Education: tertiary vs 12 years or fewer,BEL,49.94920018077731,58.449946505041815,8.500746324264504,4.60604923367705
Education: tertiary vs 12 years or fewer,CAN,47.44666468905091,59.80928280753044,12.362618118479524,3.9437819435623314
Education: tertiary vs 12 years or fewer,CHE,52.72246677165357,61.81956341630057,9.097096644646996,5.137223314482768
Education: tertiary vs 12 years or fewer,CHL,31.520520088510136,46.06236328999522,14.541843201485083,4.516784304703146
Education: tertiary vs 12 years or fewer,COL,34.50020444214909,45.83101546481676,11.330811022667667,6.661249616213226
Education: tertiary vs 12 years or fewer,CZE,58.92420683772103,59.856092346391485,0.9318855086704545,4.495471293631507
Education: tertiary vs 12 years or fewer,DEU,39.22733137236234,53.62590753572563,14.398576163363288,5.138141664574772
Education: tertiary vs 12 years or fewer,DNK,35.00368130362879,44.45784158343159,9.4541602798028,5.100913566470219
Education: tertiary vs 12 years or fewer,ESP,41.294461911839704,47.95980694651493,6.6653450346752265,3.0329834319882503
Education: tertiary vs 12 years or fewer,EST,40.47409791768696,51.88050543249483,11.406407514807867,4.710412000092882
Education: tertiary vs 12 years or fewer,FIN,37.545798604274765,52.074566466202484,14.528767861927719,3.7115999184062263
Education: tertiary vs 12 years or fewer,FRA,49.920402993352965,56.19863685116536,6.2782338578123955,4.749064567711988
Education: tertiary vs 12 years or fewer,GBR,32.37151225377271,51.70029821699639,19.32878596322368,5.573437275254949
Education: tertiary vs 12 years or fewer,GRC,33.44802119218256,48.817198648444446,15.369177456261887,4.405204118677875
Education: tertiary vs 12 years or fewer,HUN,45.35239873255373,57.52137295234913,12.168974219795402,5.201035791271689
Education: tertiary vs 12 years or fewer,IRL,37.05424543354388,48.08981007670464,11.035564643160754,4.077175629283144
Education: tertiary vs 12 years or fewer,ISL,39.439230311423664,36.34262761502108,-3.0966026964025843,5.949302366305976
Education: tertiary vs 12 years or fewer,ISR,65.20474971686511,59.172691459441126,-6.032058257423984,6.002284500378984
