cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonised,mismatch
AUS,487.0842535121307,0.379366600098662,11.002585272014857,-18.42382545384872,-3.0382385894864115,-15.38558686436231
AUT,487.2674989673574,0.06906735838519017,11.09276986530205,-25.05069195352023,-10.536130864191918,-14.51456108932831
BEL,489.4868167449449,0.08287633453443578,11.044567313933994,-19.725959739464106,-7.586203936220997,-12.139755803243109
CAN,496.9478944357038,0.3811020834349589,10.978202049920776,-13.6435785000927,-0.3619640846915359,-13.281614415401163
CHE,507.99058644870286,0.16916674411868815,11.359334595789768,-19.247868377933077,-3.707452946146759,-15.540415431786318
CHL,411.6965707080961,-0.5086492927143373,10.294192644924529,0.5867145084471161,8.539057345805745,-7.9523428373586285
COL,382.6968351295673,-1.0651248666066762,9.823292217794487,-0.4684773231595613,5.985730271858529,-6.45420759501809
CZE,486.99920785192444,-0.10408606887443415,10.787062133566062,-16.17965894418994,-0.6339640164826363,-15.545694927707302
DEU,474.82645390785706,-0.1369900180181201,11.063162470656692,0.2270964132075335,12.084155217132135,-11.857058803924602
DNK,489.273876942411,0.47607773941944276,11.143157599433199,-16.065565435997144,0.9717045427393672,-17.03726997873651
ESP,473.1402080246069,-0.033199497264932515,10.752216124211673,-13.674964916336153,-0.0459217112657484,-13.629043205070404
EST,509.94695322476144,0.1507251881096396,10.671849334732508,-5.321208737002294,5.999145608878663,-11.320354345880958
FIN,484.1392256377669,0.2584828367937594,10.95200417407316,-12.290521474632456,4.066121294528799,-16.356642769161255
FRA,473.9444184205984,0.00018539079304115026,10.890680521722919,-18.02755441771994,-4.47354964743711,-13.55400477028283
GBR,488.97508506576366,0.13638065860924,10.896364587037436,0.2972165514859881,10.644713692795648,-10.34749714130966
GRC,430.14632185328054,-0.154869593520961,10.486489892568931,1.0512925427952098,13.53614036211539,-12.48484781932018
HUN,472.77612237193983,0.0029782271706394908,10.611793534130534,-17.22686147307357,-7.574505995025405,-9.652355478048165
IRL,491.6482795918827,0.3329791371384958,11.720000416950425,-1.165667296921967,4.543848275100217,-5.709515572022184
ISL,458.91401434518576,0.3781051237992792,11.106178197949012,-13.959030189408324,2.393790396334545,-16.35282058574287
ISR,457.8966665933153,0.27995699607366575,10.78171007225928,-41.515528892261045,-20.320431781253887,-21.195097111007158
ITA,471.2594754762866,-0.10021047625315674,10.86538868280361,-6.088088557039342,5.2772363278970005,-11.365324884936342
JPN,535.5793059957158,-0.006825021709761774,10.754052084685293,-2.02418069175576,15.121273777181386,-17.145454468937146
KOR,527.3025017804584,0.22438568549861265,10.88235119184817,-7.077728770980528,5.977057594341147,-13.054786365321675
LTU,475.1467619772571,0.052295066124230585,10.75026945251955,-25.97489171326265,-10.58796244508838,-15.38692926817427
LVA,483.15945520181765,-0.009482523427919614,10.537911531386063,-16.412811711254115,-8.755682355406606,-7.657129355847509
MEX,395.0299192187101,-0.9524373255716473,9.970765631868323,-1.28320219475426,2.560850277425793,-3.844052472180053
NLD,492.6756389784962,0.2534607822800931,11.174988660714414,-4.255510731381335,-0.0052888346982626,-4.2502218966830725
NOR,468.44994989168754,0.5214971144813197,11.462787504617456,-2.454276012929256,10.960545164308968,-13.414821177238224
NZL,479.07419345237787,0.21906359919765708,10.81663303396012,-16.04474674464008,-1.973612843524449,-14.07113390111563
POL,488.9600537637015,-0.10514068515163943,10.678330417997634,-14.95298883119638,-1.457549497069223,-13.495439334127157
PRT,471.91052210574856,-0.22635525994346117,10.623054174662954,-1.151914979393197,5.106468487376446,-6.258383466769644
SVK,463.9946184782649,-0.3029966638479775,10.56227580722072,-16.950987452149775,0.1329508564572705,-17.083938308607046
SVN,484.52900864834976,0.22580826383510563,10.75915500275801,-24.762953964459257,-1.826209240042246,-22.93674472441701
SWE,481.76606539700725,0.326591020590031,11.043633585968013,-19.162689592345885,-3.7405698949843895,-15.422119697361495
TUR,453.15176740183233,-1.1854430482598908,10.419921752943475,13.9580110485157,24.4090730135632,-10.4510619650475
USA,464.888043012123,0.05616286857446633,11.195865978937524,-9.014990714738246,4.1948797556176345,-13.209870470355881
