,log_gdp_pc,mean_score_2022,mean_escs_2022
mismatch,-0.26371130492629424,-0.3668263832805856,-0.46181036645107115
published,-0.21256961343560854,-0.2461899247349822,-0.499798629318742
harmonised,-0.13035039219463573,-0.11940408284888666,-0.3878149605223428
