cnt,mean_score_2022,mean_escs_2022,log_gdp_pc,published,harmonised,mismatch
AUS,498.0509397766056,0.379366600098662,11.002585272014857,-20.614027300880466,-3.068173395712265,-17.5458539051682
AUT,480.40584722266067,0.06906735838519017,11.09276986530205,-30.430254265052582,-13.938784823597842,-16.49146944145474
BEL,478.8526682782358,0.08287633453443578,11.044567313933994,-31.25562771245764,-16.319356698968477,-14.936271013489161
CAN,507.13289582267686,0.3811020834349589,10.978202049920776,-17.437191006400717,-3.5885089147311646,-13.848682091669552
CHE,483.3317339558567,0.16916674411868815,11.359334595789768,-37.74073503341151,-19.991091579153306,-17.749643454258205
CHL,447.97895739670247,-0.5086492927143373,10.294192644924529,-4.444536957849294,6.9196189519642815,-11.364155909813576
COL,408.6650263433265,-1.0651248666066762,9.823292217794487,-12.92570146323581,-5.212356043523073,-7.713345419712738
CZE,488.6036684603712,-0.10408606887443415,10.787062133566062,-30.54458710883192,-14.659655545329542,-15.884931563502377
DEU,479.7940247545736,-0.1369900180181201,11.063162470656692,2.31344876344906,15.633971300932744,-13.320522537483685
DNK,488.80099070123543,0.47607773941944276,11.143157599433199,-15.469567158317927,4.780181604319196,-20.249748762637125
ESP,474.30711242382256,-0.033199497264932515,10.752216124211673,-17.988741687927572,-3.200328923110277,-14.788412764817295
EST,511.0303316439279,0.1507251881096396,10.671849334732508,-4.38360522720555,7.574737803389041,-11.958343030594591
FIN,490.21768481353615,0.2584828367937594,10.95200417407316,-16.38467713613329,3.0461308237588867,-19.430807959892178
FRA,473.85215803119905,0.00018539079304115026,10.890680521722919,-23.15380562325994,-8.81984850013093,-14.33395712312901
GBR,494.40462600859075,0.13638065860924,10.896364587037436,-18.001652824858326,-5.243304494309356,-12.75834833054897
GRC,438.4406252253503,-0.154869593520961,10.486489892568931,-9.84114435937336,1.4981944279715549,-11.339338787344914
HUN,472.9747259373596,0.0029782271706394908,10.611793534130534,-34.875301554051205,-25.128205510327604,-9.747096043723602
IRL,516.0099753082625,0.3329791371384958,11.720000416950425,-5.024751906320702,3.5854825770680634,-8.610234483388766
ISL,435.922994554554,0.3781051237992792,11.106178197949012,-18.484924548497062,2.192348951112237,-20.6772734996093
ISR,473.8326982093544,0.27995699607366575,10.78171007225928,-53.27331537319272,-26.823604310112216,-26.449711063080507
ITA,481.5982778298936,-0.10021047625315674,10.86538868280361,-0.571796525655401,10.178023747742955,-10.749820273398356
JPN,515.8546137502589,-0.006825021709761774,10.754052084685293,-8.399709288268568,13.085961309932443,-21.48567059820101
KOR,515.4153921009976,0.22438568549861265,10.88235119184817,-20.947930896310297,-10.791634676552007,-10.15629621975829
LTU,471.8342299438431,0.052295066124230585,10.75026945251955,-27.321539846409514,-11.783186862991675,-15.53835298341784
LVA,474.56865073478394,-0.009482523427919614,10.537911531386063,-25.529684980665337,-15.717685143754316,-9.81199983691102
MEX,415.3589621469032,-0.9524373255716473,9.970765631868323,-10.231992682510535,-6.022186513164925,-4.20980616934561
NLD,459.242908056442,0.2534607822800931,11.174988660714414,-9.36340869995928,-1.356267284855292,-8.007141415103987
NOR,476.52387775392486,0.5214971144813197,11.462787504617456,-10.902834207485624,3.279751274541937,-14.18258548202756
NZL,500.8530109556955,0.21906359919765708,10.81663303396012,-16.56013265850848,1.2566721861761323,-17.81680484468461
POL,488.7136290629063,-0.10514068515163943,10.678330417997634,-21.57992239815843,-3.1403800171330545,-18.439542381025376
PRT,476.58861113023045,-0.22635525994346117,10.623054174662954,-9.011181010260614,0.2515791201385156,-9.26276013039913
SVK,446.86060740452825,-0.3029966638479775,10.56227580722072,-15.581052086993992,4.099405316457549,-19.68045740345154
SVN,468.5360126993491,0.22580826383510563,10.75915500275801,-21.76104703947389,2.939510973714661,-24.70055801318855
SWE,486.9751557891439,0.326591020590031,11.043633585968013,-17.973640918373007,-0.8281896939652853,-17.145451224407722
TUR,456.08404072475236,-1.1854430482598908,10.419921752943475,3.226891249329995,12.03123706693679,-8.804345817606794
USA,503.9375736570523,0.05616286857446633,11.195865978937524,4.47112581770466,20.5473353736664,-16.07620955596174
