wave,group,pct_students,math,hisei,paredint,books7,n_booktypes,n_national_yes,n_national_adm
2022,In Q4 under both,19.678052102253137,508.0819000239349,64.2701450936168,15.077742632571805,4.87218078369248,6.899760876126954,,0.0
2022,"Published Q4, not harmonised Q4",5.314991618059921,520.2640846342638,60.69609751018628,14.757720557067248,5.060439065743261,7.170979412090178,,0.0
2022,"Harmonised Q4, not published Q4",5.312832001170279,471.1469652846813,56.377255123160815,14.486482349244083,3.7080554752459007,4.760082291445698,,0.0
2022,In Q1 under both,19.476263725104243,418.1546231725037,38.15752141500822,12.278136653834252,2.5774359288891815,3.7049515508024737,,0.0
2022,"Published Q1, not harmonised Q1",5.531712019000952,429.5955069957908,44.517866363213905,13.122297112373555,2.7551504345463327,2.9077135514008003,,0.0
2022,"Harmonised Q1, not published Q1",5.534447888342312,463.9915378549756,46.05068437859003,13.314504802214406,3.6916610824576144,6.328985581094003,,0.0
2025,In Q4 under both,21.38831927386987,488.590979480876,63.42935830310045,14.767098221943373,4.602740699486499,,4.324455866751446,5.6442950959599205
2025,"Published Q4, not harmonised Q4",3.605458675910126,464.01877459492255,57.28621085050597,14.225102123957795,4.102229770820641,,4.49972916482909,5.553433541746383
2025,"Harmonised Q4, not published Q4",3.6023862453762496,506.8656973658039,59.7579350773611,14.449529565743223,4.556637562530233,,2.938359110574217,5.60858273249905
2025,In Q1 under both,21.45352391204361,420.78256690212936,40.43563804655715,12.051748119097809,2.8001809519776586,,2.595293888078082,5.611110620529112
2025,"Published Q1, not harmonised Q1",3.575136627485066,460.3030679405557,45.68305088959358,12.963176474646854,3.50546377284342,,2.116055286962327,5.595493311167321
2025,"Harmonised Q1, not published Q1",3.5599302144575296,430.9673804894264,45.01451227700172,12.901321118348548,3.0961366050913095,,3.803262155107557,5.586973746364444
