cnt,n_systems,mean_2022,mean_2025,countries,status,se_2022,se_2025,estimate,se,ci_low,ci_high
ARG,1,377.5290286484542,366.8142032742934,ARG,both cycles,2.25165547760954,2.6634611729485287,-10.714825374160796,3.6949124224605647,-17.956853722183503,-3.472797026138089
BRA,1,378.6913669469825,376.7679361057087,BRA,both cycles,1.581418866238151,1.7480119329687798,-1.9234308412737846,2.654210117585872,-7.125682671742094,3.278820989194525
CHL,1,411.696570708097,402.6452234322068,CHL,both cycles,2.077902006708995,2.1761016912521147,-9.05134727589018,3.2467669026518644,-15.415010405087834,-2.6876841466925256
COL,1,382.69683512956686,380.52867387062145,COL,both cycles,3.031013488194749,2.781410354120822,-2.1681612589454176,4.290884095804618,-10.578294086722469,6.241971568831634
MEX,1,395.0299192187098,387.58717074062304,MEX,both cycles,2.270588839498001,1.8581686621996274,-7.442748478086742,3.1775406299894313,-13.670728112866026,-1.2147688433074562
PER,1,391.2357846402254,382.43937522599595,PER,both cycles,2.3410276464749353,2.4482908663413885,-8.796409414229458,3.6004081168349016,-15.853209323225865,-1.7396095052330516
URY,1,408.71206639216757,404.8788462671822,URY,both cycles,2.023864988804209,1.9451763225132086,-3.8332201249853597,3.060741808544698,-9.832274069732968,2.1658338197622484
LATAM7,7,392.22736738345765,385.9516327023759,"ARG,BRA,CHL,COL,MEX,PER,URY",both cycles,0.8548489680181974,0.8553775051002378,-6.275734681081758,1.7178001729983858,-9.642623020158595,-2.9088463420049218
