cnt,index,field,new,existing,difference
CHL,escs,Q1_2022,383.74230080287316,383.7423008028732,-5.684341886080802e-14
CHL,escs,Q1_2025,377.5920471563294,377.5920471563294,0.0
CHL,escs,Q1_change,-6.150253646543774,-6.150253646543774,0.0
CHL,escs,Q1_se,4.340869651713313,4.340869651713312,8.881784197001252e-16
CHL,escs,Q2_2022,403.4320295756664,403.4320295756664,0.0
CHL,escs,Q2_2025,392.04530464802474,392.0453046480248,-5.684341886080802e-14
CHL,escs,Q2_change,-11.386724927641637,-11.386724927641636,-1.7763568394002505e-15
CHL,escs,Q2_se,4.477111323408726,4.477111323408726,0.0
CHL,escs,Q3_2022,415.17643839549316,415.1764383954932,-5.684341886080802e-14
CHL,escs,Q3_2025,408.3447237308966,408.3447237308966,0.0
CHL,escs,Q3_change,-6.831714664596575,-6.831714664596575,0.0
CHL,escs,Q3_se,4.875790888073508,4.875790888073509,-8.881784197001252e-16
CHL,escs,Q4_2022,452.85221006260934,452.8522100626093,5.684341886080802e-14
CHL,escs,Q4_2025,447.28867092451276,447.2886709245128,-5.684341886080802e-14
CHL,escs,Q4_change,-5.563539138096587,-5.563539138096587,0.0
CHL,escs,Q4_se,5.007425711893728,5.00742571189373,-1.7763568394002505e-15
CHL,escs,Q2-Q1_2022,19.689728772793217,19.689728772793195,2.1316282072803006e-14
CHL,escs,Q2-Q1_2025,14.453257491695354,14.453257491695371,-1.7763568394002505e-14
CHL,escs,Q2-Q1_change,-5.236471281097863,-5.236471281097824,-3.907985046680551e-14
CHL,escs,Q2-Q1_se,4.997741815648301,4.9977418156483004,8.881784197001252e-16
CHL,escs,Q3-Q1_2022,31.434137592620004,31.43413759262,3.552713678800501e-15
CHL,escs,Q3-Q1_2025,30.752676574567204,30.75267657456722,-1.7763568394002505e-14
CHL,escs,Q3-Q1_change,-0.6814610180528007,-0.6814610180527758,-2.4868995751603507e-14
CHL,escs,Q3-Q1_se,5.489630684642367,5.489630684642367,0.0
CHL,escs,Q4-Q1_2022,69.10990925973618,69.10990925973617,1.4210854715202004e-14
CHL,escs,Q4-Q1_2025,69.69662376818337,69.69662376818329,8.526512829121202e-14
CHL,escs,Q4-Q1_change,0.5867145084471872,0.5867145084471161,7.105427357601002e-14
CHL,escs,Q4-Q1_se,6.4273897375088715,6.427389737508871,8.881784197001252e-16
CHL,escs,Q3-Q2_2022,11.744408819826788,11.744408819826806,-1.7763568394002505e-14
CHL,escs,Q3-Q2_2025,16.29941908287185,16.29941908287185,0.0
CHL,escs,Q3-Q2_change,4.555010263045062,4.555010263045045,1.7763568394002505e-14
CHL,escs,Q3-Q2_se,5.4611247798728115,5.461124779872812,-8.881784197001252e-16
CHL,escs,Q4-Q2_2022,49.42018048694297,49.420180486942975,-7.105427357601002e-15
CHL,escs,Q4-Q2_2025,55.24336627648802,55.24336627648792,9.947598300641403e-14
CHL,escs,Q4-Q2_change,5.82318578954505,5.823185789544944,1.0658141036401503e-13
CHL,escs,Q4-Q2_se,5.8231696485113575,5.823169648511358,-8.881784197001252e-16
CHL,escs,Q4-Q3_2022,37.67577166711618,37.675771667116166,1.4210854715202004e-14
CHL,escs,Q4-Q3_2025,38.94394719361617,38.94394719361607,9.947598300641403e-14
CHL,escs,Q4-Q3_change,1.2681755264999879,1.2681755264999026,8.526512829121202e-14
CHL,escs,Q4-Q3_se,5.484914663034986,5.484914663034987,-8.881784197001252e-16
COL,escs,Q1_2022,351.657763356477,351.657763356477,0.0
COL,escs,Q1_2025,350.4688905562199,350.4688905562199,0.0
COL,escs,Q1_change,-1.1888728002571156,-1.1888728002571156,0.0
COL,escs,Q1_se,4.18235015158451,4.18235015158451,0.0
COL,escs,Q2_2022,369.6691864423028,369.6691864423028,0.0
COL,escs,Q2_2025,373.1685363601852,373.1685363601852,0.0
COL,escs,Q2_change,3.499349917882398,3.499349917882398,0.0
COL,escs,Q2_se,4.321940192854321,4.321940192854321,0.0
COL,escs,Q3_2022,384.2044345673045,384.2044345673045,0.0
COL,escs,Q3_2025,388.05745567716866,388.0574556771687,-5.684341886080802e-14
COL,escs,Q3_change,3.853021109864187,3.853021109864187,0.0
COL,escs,Q3_se,6.055405301614433,6.0554053016144325,8.881784197001252e-16
COL,escs,Q4_2022,430.21297769345813,430.2129776934581,5.684341886080802e-14
COL,escs,Q4_2025,428.55562757004145,428.5556275700415,-5.684341886080802e-14
COL,escs,Q4_change,-1.657350123416677,-1.657350123416677,0.0
COL,escs,Q4_se,8.655759369129896,8.655759369129896,0.0
COL,escs,Q2-Q1_2022,18.01142308582581,18.011423085825832,-2.1316282072803006e-14
COL,escs,Q2-Q1_2025,22.699645803965325,22.69964580396538,-5.684341886080802e-14
COL,escs,Q2-Q1_change,4.688222718139514,4.688222718139549,-3.552713678800501e-14
COL,escs,Q2-Q1_se,4.835601273747248,4.835601273747246,1.7763568394002505e-15
COL,escs,Q3-Q1_2022,32.54667121082747,32.54667121082752,-4.973799150320701e-14
COL,escs,Q3-Q1_2025,37.58856512094877,37.588565120948765,7.105427357601002e-15
COL,escs,Q3-Q1_change,5.041893910121303,5.041893910121246,5.684341886080802e-14
COL,escs,Q3-Q1_se,5.831820316841232,5.83182031684123,1.7763568394002505e-15
COL,escs,Q4-Q1_2022,78.55521433698112,78.5552143369812,-7.105427357601002e-14
COL,escs,Q4-Q1_2025,78.08673701382156,78.08673701382163,-7.105427357601002e-14
COL,escs,Q4-Q1_change,-0.46847732315956137,-0.4684773231595613,-5.551115123125783e-17
COL,escs,Q4-Q1_se,9.249389483545936,9.249389483545936,0.0
COL,escs,Q3-Q2_2022,14.535248125001658,14.535248125001688,-3.019806626980426e-14
COL,escs,Q3-Q2_2025,14.888919316983447,14.888919316983383,6.394884621840902e-14
COL,escs,Q3-Q2_change,0.353671191981789,0.3536711919816984,9.059419880941277e-14
COL,escs,Q3-Q2_se,5.152163118447181,5.15216311844718,8.881784197001252e-16
COL,escs,Q4-Q2_2022,60.54379125115531,60.54379125115536,-4.973799150320701e-14
COL,escs,Q4-Q2_2025,55.38709120985624,55.38709120985625,-1.4210854715202004e-14
COL,escs,Q4-Q2_change,-5.156700041299075,-5.156700041299104,2.930988785010413e-14
COL,escs,Q4-Q2_se,8.830439522606861,8.830439522606861,0.0
COL,escs,Q4-Q3_2022,46.008543126153654,46.00854312615367,-1.4210854715202004e-14
COL,escs,Q4-Q3_2025,40.49817189287279,40.49817189287286,-7.105427357601002e-14
