cnt,wave,index,n_total,n_valid,valid_weight_pct,status
PER,2022,pared_h,6968,6918,99.2170131129873,estimated
PER,2022,books_h,6968,6899,99.00788605789447,estimated
PER,2022,escs_pca,6968,6915,99.17141379660397,estimated
PER,2022,escs_cc,6968,6706,95.9016443872635,estimated
PER,2022,escs_h_cc,6968,6706,95.9016443872635,estimated
PER,2025,escs,6991,6650,95.32569429230051,estimated
PER,2025,escs_h,6991,6632,95.0004842990811,estimated
PER,2025,homepos,6991,6911,98.93084962074614,estimated
PER,2025,homepos_h,6991,6854,98.03046279857065,estimated
PER,2025,hisei_h,6991,5974,85.5567036584345,estimated
PER,2025,pared_h,6991,5956,85.33740120563662,estimated
PER,2025,books_h,6991,6879,98.47449075009789,estimated
PER,2025,escs_pca,6991,6632,95.0004842990811,estimated
PER,2025,escs_cc,6991,5241,74.99163681663148,estimated
PER,2025,escs_h_cc,6991,5241,74.99163681663148,estimated
URY,2022,escs,6618,6508,98.32470051816372,estimated
URY,2022,escs_h,6618,6477,97.82180256985946,estimated
URY,2022,homepos,6618,6561,99.14853321410693,estimated
URY,2022,homepos_h,6618,6441,97.30434018501953,estimated
URY,2022,hisei_h,6618,6011,90.7071263793413,estimated
URY,2022,pared_h,6618,6471,97.75237330993535,estimated
URY,2022,books_h,6618,6526,98.58692803513333,estimated
URY,2022,escs_pca,6618,6477,97.82180256985946,estimated
URY,2022,escs_cc,6618,5885,88.80452221190677,estimated
URY,2022,escs_h_cc,6618,5885,88.80452221190677,estimated
URY,2025,escs,6572,6235,94.99666524372354,estimated
URY,2025,escs_h,6572,6204,94.54907934503699,estimated
URY,2025,homepos,6572,6465,98.36867802581875,estimated
URY,2025,homepos_h,6572,6371,96.94610553222759,estimated
URY,2025,hisei_h,6572,5628,85.96199287711946,estimated
URY,2025,pared_h,6572,6094,92.92321770676043,estimated
URY,2025,books_h,6572,6403,97.39461845638459,estimated
URY,2025,escs_pca,6572,6204,94.54907934503699,estimated
URY,2025,escs_cc,6572,5448,83.26347330754432,estimated
URY,2025,escs_h_cc,6572,5448,83.26347330754432,estimated
